type,objective,termination,blocked_cycles,ceiling,block_limit,time_limit,time_s,nodes
loopless_fba,0.0268,OPTIMAL,,,,1800,4.51,351
loopless_fba_nullspace,0.0256,TIME_LIMIT,,,,1800,1800.0,575
loopless_indicator_fba,0.0268,OPTIMAL,,,,1800,1285.4,11532
loopless_indicator_fba_blocked_same_objective,0.0268,OPTIMAL,0,50,500,1800,1286.58,11532
loopless_indicator_fba_blocked_same_objective,0.0268,OPTIMAL,0,100,500,1800,1269.63,11532
loopless_fba_blocked_same_objective,0.0268,OPTIMAL,0,50,100,1800,4.53,351
loopless_fba_blocked_same_objective,0.0268,OPTIMAL,0,100,100,1800,4.51,351
loopless_fba_blocked_same_objective,0.0268,OPTIMAL,0,200,100,1800,4.51,351
loopless_fba_blocked_same_objective,0.0268,OPTIMAL,0,500,100,1800,4.5,351
loopless_fba_blocked,0.0268,OPTIMAL,7,50,100,1800,6.08,949
loopless_fba_blocked,0.0268,OPTIMAL,7,100,100,1800,6.09,949
loopless_fba_blocked,0.0268,OPTIMAL,7,200,100,1800,6.1,949
loopless_fba_blocked,0.0268,OPTIMAL,7,500,100,1800,6.07,949
