type,objective,dual_bound,termination,blocked_cycles,ceiling,block_limit,time_limit,time_s,nodes
loopless_fba,0.9219,0.9219,OPTIMAL,,,,1800,114.67,7614
loopless_fba_nullspace,0.9219,0.9219,OPTIMAL,,,,1800,172.86,641
loopless_indicator_fba,0.0,0.9219,TIME_LIMIT,,,,1800,1800.0,31243
loopless_indicator_fba_blocked_same_objective,0.0,0.9219,TIME_LIMIT,0,50,500,1800,1800.0,28423
loopless_indicator_fba_blocked_same_objective,0.0,0.9219,TIME_LIMIT,0,100,500,1800,1800.0,28283
loopless_fba_blocked_same_objective,0.9219,0.9219,OPTIMAL,0,50,100,1800,115.01,7614
loopless_fba_blocked_same_objective,0.9219,0.9219,OPTIMAL,0,100,100,1800,114.7,7614
loopless_fba_blocked_same_objective,0.9219,0.9219,OPTIMAL,0,200,100,1800,114.14,7614
loopless_fba_blocked_same_objective,0.9219,0.9219,OPTIMAL,0,500,100,1800,110.62,7614
loopless_fba_blocked,0.9219,0.9219,OPTIMAL,13,50,100,1800,89.4,4804
loopless_fba_blocked,0.9219,0.9219,OPTIMAL,20,100,100,1800,45.61,881
loopless_fba_blocked,0.9219,0.9219,OPTIMAL,60,200,100,1800,101.19,28
loopless_fba_blocked,0.9219,0.9219,OPTIMAL,100,500,100,1800,48.43,2314
