organism,time_limit,termination_ll_fba_cobrexa,objective_value_ll_fba_cobrexa,time_ll_fba_cobrexa,termination_ll_fba_nullspace,objective_value_ll_fba_nullspace,time_ll_fba_nullspace,termination_ll_fba,objective_value_ll_fba,time_ll_fba,termination_no_good_cuts,objective_value_no_good_cuts,time_no_good_cuts,termination_cb,objective_value_cb,time_cb
iJR904,1800,OPTIMAL,0.922,164,OPTIMAL,0.922,163,OPTIMAL,0.922,93,TIME_LIMIT,0.922,1800,OPTIMAL,0.922,11
iML1515,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,NaN,1800,OPTIMAL,0.877,1692,TIME_LIMIT,0.877,1800,OPTIMAL,0.877,167
e_coli_core,1800,OPTIMAL,0.874,0,OPTIMAL,0.874,0,OPTIMAL,0.874,0,TIME_LIMIT,0.874,1800,OPTIMAL,0.874,0
iNF517,1800,OPTIMAL,0.043,40,OPTIMAL,0.043,39,OPTIMAL,0.043,11,TIME_LIMIT,0.043,1800,OPTIMAL,0.043,11
iNJ661,1800,OPTIMAL,0.053,229,OPTIMAL,0.053,227,OPTIMAL,0.053,181,TIME_LIMIT,0.053,1800,OPTIMAL,0.053,33
iCN900,1800,OPTIMAL,0.0,28,OPTIMAL,0.0,27,OPTIMAL,0.0,0,TIME_LIMIT,0.0,1800,OPTIMAL,0.0,3
iAF1260,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.69,1800,TIME_LIMIT,0.737,1800,OPTIMAL,0.737,164
iEK1008,1800,OPTIMAL,0.058,493,OPTIMAL,0.058,503,OPTIMAL,0.058,865,TIME_LIMIT,0.058,1800,OPTIMAL,0.058,5
iJO1366,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.939,1800,TIME_LIMIT,0.982,1800,OPTIMAL,0.982,268
iMM904,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,OPTIMAL,0.288,1465,TIME_LIMIT,0.288,1800,OPTIMAL,0.288,95
iSDY_1059,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.92,1800,TIME_LIMIT,0.938,1800,OPTIMAL,0.938,261
iSFV_1184,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,OPTIMAL,0.894,1241,TIME_LIMIT,0.894,1800,OPTIMAL,0.894,264
iSF_1195,1800,TIME_LIMIT,-0.0,1800,TIME_LIMIT,-0.0,1800,TIME_LIMIT,0.915,1800,TIME_LIMIT,0.915,1800,OPTIMAL,0.915,288
iS_1188,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.73,1800,TIME_LIMIT,0.857,1800,OPTIMAL,0.857,296
iSbBS512_1146,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.983,1800,OPTIMAL,0.983,371
