organism,time_limit,termination_no_good_cuts,objective_value_no_good_cuts,time_no_good_cuts,termination_cb,objective_value_cb,time_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m
iJR904,1800,TIME_LIMIT,0.922,1800,OPTIMAL,0.922,11,OPTIMAL,0.9219480950504704,4.893405914306641
iML1515,1800,TIME_LIMIT,0.877,1800,OPTIMAL,0.877,167,OPTIMAL,0.8769972144269693,24.750552892684937
e_coli_core,1800,TIME_LIMIT,0.874,1800,OPTIMAL,0.874,0,OPTIMAL,0.8739215069684305,0.06698107719421387
iNF517,1800,TIME_LIMIT,0.043,1800,OPTIMAL,0.043,11,OPTIMAL,0.042635059875612225,4.072041988372803
iNJ661,1800,TIME_LIMIT,0.053,1800,OPTIMAL,0.053,33,OPTIMAL,0.04797870052760172,10.458692073822021
iCN900,1800,TIME_LIMIT,0.0,1800,OPTIMAL,0.0,3,OPTIMAL,0.0,0.9587230682373047
iAF1260,1800,TIME_LIMIT,0.737,1800,OPTIMAL,0.737,164,OPTIMAL,0.7091539387632733,91.98749303817749
iEK1008,1800,TIME_LIMIT,0.058,1800,OPTIMAL,0.058,5,OPTIMAL,0.05817387298969846,2.685757875442505
iJO1366,1800,TIME_LIMIT,0.982,1800,OPTIMAL,0.982,268,OPTIMAL,0.9823718127269797,50.33166193962097
iMM904,1800,TIME_LIMIT,0.288,1800,OPTIMAL,0.288,95,OPTIMAL,0.2878657037040206,29.56216287612915
iSDY_1059,1800,TIME_LIMIT,0.938,1800,OPTIMAL,0.938,261,OPTIMAL,0.9378903140618883,54.48751711845398
iSFV_1184,1800,TIME_LIMIT,0.894,1800,OPTIMAL,0.894,264,OPTIMAL,0.8938577495747786,98.63656997680664
iSF_1195,1800,TIME_LIMIT,0.915,1800,OPTIMAL,0.915,288,OPTIMAL,0.9145918468942483,76.1260678768158
iS_1188,1800,TIME_LIMIT,0.857,1800,OPTIMAL,0.857,296,OPTIMAL,0.8570768348163259,90.25994491577148
iSbBS512_1146,1800,TIME_LIMIT,0.983,1800,OPTIMAL,0.983,371,OPTIMAL,0.9828118163906695,103.06616497039795
