organism,time_limit,termination_ll_fba_nullspace,objective_value_ll_fba_nullspace,time_ll_fba_nullspace,termination_ll_fba,objective_value_ll_fba,time_ll_fba
iJR904,1800,OPTIMAL,0.922,163,OPTIMAL,0.922,93
iML1515,1800,TIME_LIMIT,NaN,1800,OPTIMAL,0.877,1692
e_coli_core,1800,OPTIMAL,0.874,0,OPTIMAL,0.874,0
iNF517,1800,OPTIMAL,0.043,39,OPTIMAL,0.043,11
iNJ661,1800,OPTIMAL,0.053,227,OPTIMAL,0.053,181
iCN900,1800,OPTIMAL,0.0,27,OPTIMAL,0.0,0
iAF1260,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.69,1800
iEK1008,1800,OPTIMAL,0.058,503,OPTIMAL,0.058,865
iJO1366,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.939,1800
iMM904,1800,TIME_LIMIT,0.0,1800,OPTIMAL,0.288,1465
iSDY_1059,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.92,1800
iSFV_1184,1800,TIME_LIMIT,0.0,1800,OPTIMAL,0.894,1241
iSF_1195,1800,TIME_LIMIT,-0.0,1800,TIME_LIMIT,0.915,1800
iS_1188,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.73,1800
iSbBS512_1146,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800
