organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_ch,objective_value_ch,time_ch,feasibility_ch,termination_ch_mis_5,objective_value_ch_mis_5,time_ch_mis_5,feasibility_ch_mis_5
iAF692,1800,OPTIMAL,0.027,3,true,OPTIMAL,0.026780447989114383,10.259349,true,OPTIMAL,0.026780447989114383,9.535678,true
iJR904,1800,OPTIMAL,0.922,93,true,OPTIMAL,0.9219480950504657,11.236072,true,OPTIMAL,0.9219480950504657,10.700184,true
iML1515,1800,OPTIMAL,0.877,1692,true,TIME_LIMIT,0.8769935167977252,1800.230712,true,TIME_LIMIT,0.8769935167977252,1800.517862,true
e_coli_core,1800,OPTIMAL,0.874,0,true,OPTIMAL,0.8739215069684303,5.723248,true,OPTIMAL,0.8739215069684303,4.890516,true
iNF517,1800,OPTIMAL,0.043,11,true,OPTIMAL,0.04263505987561223,28.008887,true,OPTIMAL,0.04263505987561223,19.097428,true
iNJ661,1800,OPTIMAL,0.053,181,true,OPTIMAL,0.05254980100850079,24.046523,true,OPTIMAL,0.05254980100850079,24.269164,true
iCN900,1800,OPTIMAL,0.0,0,true,OPTIMAL,0.0,5.455019,true,OPTIMAL,0.0,5.783164,true
iAF1260,1800,TIME_LIMIT,0.69,1800,false,OPTIMAL,0.7367009388648811,207.002541,true,OPTIMAL,0.7367009388648811,207.193734,true
iEK1008,1800,OPTIMAL,0.058,865,true,OPTIMAL,0.0581738729896975,35.776391,true,OPTIMAL,0.0581738729896975,36.098611,true
iJO1366,1800,TIME_LIMIT,0.939,1800,false,OPTIMAL,0.9823718127269769,992.963928,true,OPTIMAL,0.9823718127269769,1038.799527,true
iMM904,1800,OPTIMAL,0.288,1465,true,OPTIMAL,0.2878657037040175,75.432995,true,OPTIMAL,0.2878657037040175,75.827984,true
iSDY_1059,1800,TIME_LIMIT,0.92,1800,false,OPTIMAL,0.9378903140618768,201.298957,true,OPTIMAL,0.9378903140618768,203.887295,true
iSFV_1184,1800,OPTIMAL,0.894,1241,true,OPTIMAL,0.8938577495747784,1155.510242,true,OPTIMAL,0.8938577495747784,1154.621563,true
iSF_1195,1800,TIME_LIMIT,0.915,1800,false,OPTIMAL,0.9145918468942502,312.568353,true,OPTIMAL,0.9145918468942502,320.457159,true
iS_1188,1800,TIME_LIMIT,0.73,1800,false,OPTIMAL,0.8570768327332422,224.874761,true,OPTIMAL,0.8570768327332422,226.074483,true
iSbBS512_1146,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.9780190613701826,1800.1003,true,TIME_LIMIT,0.9780190613701826,1800.465191,true
