organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,termination_ch,objective_value_ch,time_ch,feasibility_ch
iAF692,1800,OPTIMAL,0.027,3,true,OPTIMAL,0.027,16,true,OPTIMAL,0.02682946442152063,142.440494,false
iJR904,1800,OPTIMAL,0.922,93,true,OPTIMAL,0.922,21,true,ERROR,,,false
iML1515,1800,OPTIMAL,0.877,1692,true,OPTIMAL,0.877,188,true,TIME_LIMIT,3.598675687347056e-6,1800.222855,false
e_coli_core,1800,OPTIMAL,0.874,0,true,OPTIMAL,0.874,9,true,OPTIMAL,0.8739215069684303,7.516835,false
iNF517,1800,OPTIMAL,0.043,11,true,OPTIMAL,0.043,29,true,OPTIMAL,0.04263460544337323,164.111942,false
iSB619,1800,INFEASIBLE,NaN,1,false,OPTIMAL,0.158,15,true,ERROR,,,false
iNJ661,1800,OPTIMAL,0.053,181,true,OPTIMAL,0.053,61,true,INTERRUPTED,NaN,1.297996,false
iCN900,1800,OPTIMAL,0.0,0,true,OPTIMAL,0.0,11,true,OPTIMAL,0.0,5.214418,false
iAF1260,1800,TIME_LIMIT,0.69,1800,false,OPTIMAL,0.737,166,true,TIME_LIMIT,9.272964526842666e-9,1800.001035,false
iEK1008,1800,OPTIMAL,0.058,865,true,OPTIMAL,0.058,20,true,ERROR,,,false
iJO1366,1800,TIME_LIMIT,0.939,1800,false,OPTIMAL,0.982,286,true,ERROR,,,false
iMM904,1800,OPTIMAL,0.288,1465,true,OPTIMAL,0.288,154,true,ERROR,,,false
iSDY_1059,1800,TIME_LIMIT,0.92,1800,false,OPTIMAL,0.938,273,true,ERROR,,,false
iSFV_1184,1800,OPTIMAL,0.894,1241,true,OPTIMAL,0.894,442,true,TIME_LIMIT,NaN,1800.023669,false
iSF_1195,1800,TIME_LIMIT,0.915,1800,false,OPTIMAL,0.915,452,true,TIME_LIMIT,NaN,1800.001086,false
iS_1188,1800,TIME_LIMIT,0.73,1800,false,OPTIMAL,0.857,311,true,ERROR,,,false
iSbBS512_1146,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.983,360,true,ERROR,,,false
