organism,termination_ll_fba,time_ll_fba,termination_cb,time_cb,termination_cb_big_m,time_cb_big_m
e_coli_core,OPTIMAL,0,OPTIMAL,9,OPTIMAL,5
iAB_RBC_283,OPTIMAL,0,OPTIMAL,11,OPTIMAL,5
iIS312_Amastigote,OPTIMAL,0,OPTIMAL,10,OPTIMAL,6
iAF692,OPTIMAL,3,OPTIMAL,16,OPTIMAL,7
iSB619,INFEASIBLE,1,OPTIMAL,15,OPTIMAL,6
iNF517,OPTIMAL,11,OPTIMAL,29,OPTIMAL,12
iHN637,OPTIMAL,4,OPTIMAL,11,OPTIMAL,7
iJB785,OPTIMAL,15,OPTIMAL,14,OPTIMAL,7
iNJ661,OPTIMAL,181,OPTIMAL,61,OPTIMAL,9
iSynCJ816,OPTIMAL,1,ERROR,,ERROR,
iJN746,OPTIMAL,332,OPTIMAL,41,OPTIMAL,237
iJR904,OPTIMAL,93,OPTIMAL,21,OPTIMAL,12
iEK1008,OPTIMAL,865,OPTIMAL,20,OPTIMAL,9
iCN900,OPTIMAL,0,OPTIMAL,11,OPTIMAL,6
iYO844,TIME_LIMIT,1800,OPTIMAL,26,OPTIMAL,8
iND750,OPTIMAL,8,OPTIMAL,46,OPTIMAL,10
iMM904,OPTIMAL,1465,OPTIMAL,154,OPTIMAL,24
iRC1080,OPTIMAL,373,TIME_LIMIT,1800,ERROR,
iAF1260,TIME_LIMIT,1800,OPTIMAL,166,OPTIMAL,39
iSDY_1059,TIME_LIMIT,1800,OPTIMAL,273,OPTIMAL,46
STM_v1_0,TIME_LIMIT,1800,OPTIMAL,105,OPTIMAL,23
iJO1366,TIME_LIMIT,1800,OPTIMAL,286,OPTIMAL,52
iSbBS512_1146,TIME_LIMIT,1800,OPTIMAL,360,OPTIMAL,118
iS_1188,TIME_LIMIT,1800,OPTIMAL,311,OPTIMAL,52
iSFV_1184,OPTIMAL,1241,OPTIMAL,442,OPTIMAL,85
iSF_1195,TIME_LIMIT,1800,OPTIMAL,452,OPTIMAL,43
iSFxv_1172,OPTIMAL,966,OPTIMAL,301,OPTIMAL,53
iML1515,OPTIMAL,1692,OPTIMAL,188,OPTIMAL,33
iZ_1308,TIME_LIMIT,1800,OPTIMAL,536,OPTIMAL,83
iAPECO1_1312,TIME_LIMIT,1800,OPTIMAL,954,OPTIMAL,107
iECB_1328,TIME_LIMIT,1800,OPTIMAL,486,OPTIMAL,80
iETEC_1333,TIME_LIMIT,1800,OPTIMAL,544,OPTIMAL,88
iYS1720,TIME_LIMIT,1800,OPTIMAL,463,OPTIMAL,94
iMM1415,OPTIMAL,1550,TIME_LIMIT,1800,OPTIMAL,110
RECON1,OPTIMAL,83,TIME_LIMIT,1800,OPTIMAL,297
iLB1027_lipid,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
Recon3D,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
