organism,termination_ll_fba,time_ll_fba,termination_cb,time_cb,termination_cb_big_m,time_cb_big_m,termination_cb_mis_0.1,time_cb_mis_0.1,termination_cb_big_m_mis_0.1,time_cb_big_m_mis_0.1,termination_cb_mis_0.5,time_cb_mis_0.5,termination_cb_big_m_mis_0.5,time_cb_big_m_mis_0.5,termination_cb_big_m_mis_0.5_density_5,time_cb_big_m_mis_0.5_density_5,termination_cb_big_m_mis_0.5_density_10,time_cb_big_m_mis_0.5_density_10,termination_cb_big_m_mis_0.5_density_15,time_cb_big_m_mis_0.5_density_15,termination_cb_big_m_mis_0.5_density_20,time_cb_big_m_mis_0.5_density_20,termination_cb_big_m_mis_0.5_distinct_cuts,time_cb_big_m_mis_0.5_distinct_cuts,termination_cb_mis_1.0,time_cb_mis_1.0,termination_cb_big_m_mis_1.0,time_cb_big_m_mis_1.0,termination_cb_mis_2.0,time_cb_mis_2.0,termination_cb_mis_2.0_density_5,time_cb_mis_2.0_density_5,termination_cb_mis_2.0_density_10,time_cb_mis_2.0_density_10,termination_cb_mis_2.0_density_15,time_cb_mis_2.0_density_15,termination_cb_mis_2.0_density_20,time_cb_mis_2.0_density_20,termination_cb_mis_2.0_distinct_cuts,time_cb_mis_2.0_distinct_cuts,termination_cb_big_m_mis_2.0,time_cb_big_m_mis_2.0,termination_cb_mis_5.0,time_cb_mis_5.0,termination_cb_big_m_mis_5.0,time_cb_big_m_mis_5.0,termination_cb_mis_10.0,time_cb_mis_10.0,termination_cb_big_m_mis_10.0,time_cb_big_m_mis_10.0,termination_cb_mis_20.0,time_cb_mis_20.0,termination_cb_big_m_mis_20.0,time_cb_big_m_mis_20.0,termination_cb_mis_30.0,time_cb_mis_30.0,termination_cb_big_m_mis_30.0,time_cb_big_m_mis_30.0
e_coli_core,OPTIMAL,0,OPTIMAL,9,OPTIMAL,5,OPTIMAL,13,OPTIMAL,5,OPTIMAL,13,OPTIMAL,5,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,12,OPTIMAL,5,OPTIMAL,16,OPTIMAL,9,OPTIMAL,9,OPTIMAL,9,OPTIMAL,9,OPTIMAL,11,OPTIMAL,5,OPTIMAL,9,OPTIMAL,5,OPTIMAL,9,OPTIMAL,6,OPTIMAL,9,OPTIMAL,5,OPTIMAL,9,OPTIMAL,5
iAB_RBC_283,OPTIMAL,0,OPTIMAL,11,OPTIMAL,5,OPTIMAL,11,OPTIMAL,6,OPTIMAL,10,OPTIMAL,5,OPTIMAL,9,OPTIMAL,10,OPTIMAL,10,OPTIMAL,10,OPTIMAL,9,OPTIMAL,12,OPTIMAL,5,OPTIMAL,10,OPTIMAL,10,OPTIMAL,10,OPTIMAL,11,OPTIMAL,11,OPTIMAL,11,OPTIMAL,5,OPTIMAL,10,OPTIMAL,6,OPTIMAL,10,OPTIMAL,5,OPTIMAL,10,OPTIMAL,6,OPTIMAL,10,OPTIMAL,6
iIS312_Amastigote,OPTIMAL,0,OPTIMAL,10,OPTIMAL,6,OPTIMAL,10,OPTIMAL,6,OPTIMAL,14,OPTIMAL,6,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,8,OPTIMAL,14,OPTIMAL,5,OPTIMAL,10,OPTIMAL,11,OPTIMAL,14,OPTIMAL,15,OPTIMAL,10,OPTIMAL,12,OPTIMAL,6,OPTIMAL,10,OPTIMAL,6,OPTIMAL,10,OPTIMAL,6,OPTIMAL,11,OPTIMAL,6,OPTIMAL,10,OPTIMAL,7
iAF692,OPTIMAL,0,OPTIMAL,16,OPTIMAL,3,OPTIMAL,25,OPTIMAL,6,OPTIMAL,14,OPTIMAL,6,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,11,OPTIMAL,6,OPTIMAL,17,OPTIMAL,17,OPTIMAL,17,OPTIMAL,18,OPTIMAL,17,OPTIMAL,17,OPTIMAL,8,OPTIMAL,14,OPTIMAL,6,OPTIMAL,14,OPTIMAL,7,OPTIMAL,14,OPTIMAL,12,OPTIMAL,13,OPTIMAL,16
iSB619,OPTIMAL,0,OPTIMAL,15,OPTIMAL,6,OPTIMAL,16,OPTIMAL,6,OPTIMAL,13,OPTIMAL,3,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,8,OPTIMAL,12,OPTIMAL,13,OPTIMAL,11,OPTIMAL,14,OPTIMAL,13,OPTIMAL,12,OPTIMAL,12,OPTIMAL,14,OPTIMAL,6,OPTIMAL,11,OPTIMAL,6,OPTIMAL,12,OPTIMAL,9,OPTIMAL,22,OPTIMAL,8,OPTIMAL,11,OPTIMAL,13
iNF517,OPTIMAL,9,OPTIMAL,29,OPTIMAL,12,OPTIMAL,24,OPTIMAL,7,OPTIMAL,30,OPTIMAL,7,OPTIMAL,15,OPTIMAL,14,OPTIMAL,14,OPTIMAL,14,OPTIMAL,14,OPTIMAL,24,OPTIMAL,6,OPTIMAL,14,OPTIMAL,16,OPTIMAL,14,OPTIMAL,14,OPTIMAL,14,OPTIMAL,15,OPTIMAL,6,OPTIMAL,12,OPTIMAL,6,OPTIMAL,16,OPTIMAL,6,OPTIMAL,22,OPTIMAL,6,OPTIMAL,13,OPTIMAL,7
iHN637,OPTIMAL,4,OPTIMAL,11,OPTIMAL,7,OPTIMAL,10,OPTIMAL,6,OPTIMAL,10,OPTIMAL,6,OPTIMAL,8,OPTIMAL,7,OPTIMAL,8,OPTIMAL,7,OPTIMAL,8,OPTIMAL,18,OPTIMAL,6,OPTIMAL,11,OPTIMAL,12,OPTIMAL,11,OPTIMAL,10,OPTIMAL,11,OPTIMAL,13,OPTIMAL,6,OPTIMAL,11,OPTIMAL,6,OPTIMAL,10,OPTIMAL,7,OPTIMAL,11,OPTIMAL,9,OPTIMAL,11,OPTIMAL,8
iJB785,OPTIMAL,15,OPTIMAL,14,OPTIMAL,7,OPTIMAL,12,OPTIMAL,6,OPTIMAL,16,OPTIMAL,6,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,8,OPTIMAL,9,OPTIMAL,10,OPTIMAL,7,OPTIMAL,10,OPTIMAL,18,OPTIMAL,12,OPTIMAL,12,OPTIMAL,18,OPTIMAL,13,OPTIMAL,6,OPTIMAL,12,OPTIMAL,6,OPTIMAL,11,OPTIMAL,7,OPTIMAL,10,OPTIMAL,8,OPTIMAL,13,OPTIMAL,7
iNJ661,TIME_LIMIT,1800,OPTIMAL,61,OPTIMAL,9,OPTIMAL,49,OPTIMAL,9,OPTIMAL,29,OPTIMAL,8,OPTIMAL,9,OPTIMAL,10,OPTIMAL,9,OPTIMAL,10,OPTIMAL,13,OPTIMAL,24,OPTIMAL,8,OPTIMAL,21,OPTIMAL,29,OPTIMAL,27,OPTIMAL,26,OPTIMAL,32,OPTIMAL,24,OPTIMAL,7,OPTIMAL,23,OPTIMAL,22,OPTIMAL,29,OPTIMAL,23,OPTIMAL,29,OPTIMAL,41,OPTIMAL,25,OPTIMAL,41
iJN746,OPTIMAL,332,OPTIMAL,41,OPTIMAL,237,OPTIMAL,37,OPTIMAL,88,OPTIMAL,42,OPTIMAL,59,ERROR,,OPTIMAL,32,OPTIMAL,84,ERROR,,OPTIMAL,45,OPTIMAL,22,OPTIMAL,40,OPTIMAL,39,OPTIMAL,19,OPTIMAL,22,OPTIMAL,22,OPTIMAL,19,OPTIMAL,25,OPTIMAL,53,OPTIMAL,25,OPTIMAL,128,OPTIMAL,23,OPTIMAL,84,OPTIMAL,24,OPTIMAL,192,OPTIMAL,22,OPTIMAL,136
