organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,seed,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m,metabolites,reactions
e_coli_core,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,72,95
e_coli_core,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,72,95
e_coli_core,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,72,95
iAF692,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,628,690
iAF692,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,628,690
iAF692,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,628,690
iSB619,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,655,743
iSB619,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,655,743
iSB619,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,655,743
iNF517,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,650,754
iNF517,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,650,754
iNF517,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,650,754
iJR904,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,761,1075
iJR904,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,761,1075
iJR904,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,761,1075
iEK1008,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,998,1226
iEK1008,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,998,1226
iEK1008,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,998,1226
iCN900,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,885,1229
iCN900,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,885,1229
iCN900,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,885,1229
iMM904,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1226,1577
iMM904,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1226,1577
iMM904,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1226,1577
iAF1260,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1668,2382
iAF1260,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1668,2382
iAF1260,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1668,2382
iSDY_1059,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1888,2539
iSDY_1059,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1888,2539
iSDY_1059,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1888,2539
iJO1366,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1805,2583
iJO1366,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1805,2583
iJO1366,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1805,2583
iSbBS512_1146,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1910,2591
iSbBS512_1146,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1910,2591
iSbBS512_1146,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1910,2591
iS_1188,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1914,2619
iS_1188,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1914,2619
iS_1188,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1914,2619
iSFV_1184,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1917,2621
iSFV_1184,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1917,2621
iSFV_1184,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1917,2621
iSF_1195,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1917,2630
iSF_1195,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1917,2630
iSF_1195,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1917,2630
iML1515,1800,ERROR,,,false,1,ERROR,,,false,,,,,,ERROR,,,false,,,1877,2712
iML1515,1800,ERROR,,,false,2,ERROR,,,false,,,,,,ERROR,,,false,,,1877,2712
iML1515,1800,ERROR,,,false,3,ERROR,,,false,,,,,,ERROR,,,false,,,1877,2712
