organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,seed
iAF692,1800,TIME_LIMIT,0.0,1800,false,1
iJR904,1800,OPTIMAL,0.0,156,true,1
iML1515,1800,TIME_LIMIT,0.0,1800,false,1
e_coli_core,1800,OPTIMAL,1.606,0,true,1
iNF517,1800,OPTIMAL,0.351,9,true,1
iSB619,1800,OPTIMAL,0.0,168,true,1
iCN900,1800,OPTIMAL,0.0,1,true,1
iAF1260,1800,TIME_LIMIT,0.0,1800,false,1
iEK1008,1800,TIME_LIMIT,NaN,1800,false,1
iJO1366,1800,TIME_LIMIT,0.0,1800,false,1
iMM904,1800,TIME_LIMIT,0.0,1800,false,1
iSDY_1059,1800,TIME_LIMIT,0.0,1800,false,1
iSFV_1184,1800,TIME_LIMIT,0.0,1800,false,1
iSF_1195,1800,TIME_LIMIT,NaN,1800,false,1
iS_1188,1800,TIME_LIMIT,0.0,1800,false,1
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,1
