organism,termination_cb,time_cb,termination_cb_big_m_mis_0.1,time_cb_big_m_mis_0.1,termination_cb_big_m_mis_0.5,time_cb_big_m_mis_0.5,termination_cb_big_m_mis_1.0,time_cb_big_m_mis_1.0,termination_cb_big_m_mis_2.0,time_cb_big_m_mis_2.0,termination_cb_big_m_mis_5.0,time_cb_big_m_mis_5.0,termination_cb_big_m_mis_10.0,time_cb_big_m_mis_10.0,termination_cb_big_m_mis_20.0,time_cb_big_m_mis_20.0,termination_cb_big_m_mis_30.0,time_cb_big_m_mis_30.0
e_coli_core,OPTIMAL,9,OPTIMAL,5,OPTIMAL,5,OPTIMAL,5,OPTIMAL,5,OPTIMAL,5,OPTIMAL,6,OPTIMAL,5,OPTIMAL,5
iAB_RBC_283,OPTIMAL,11,OPTIMAL,6,OPTIMAL,5,OPTIMAL,5,OPTIMAL,5,OPTIMAL,6,OPTIMAL,5,OPTIMAL,6,OPTIMAL,6
iIS312_Amastigote,OPTIMAL,10,OPTIMAL,6,OPTIMAL,6,OPTIMAL,5,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7
iAF692,OPTIMAL,16,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,8,OPTIMAL,6,OPTIMAL,7,OPTIMAL,12,OPTIMAL,16
iSB619,OPTIMAL,15,OPTIMAL,6,OPTIMAL,6,ERROR,,OPTIMAL,6,OPTIMAL,6,OPTIMAL,9,OPTIMAL,8,OPTIMAL,13
iNF517,OPTIMAL,29,OPTIMAL,7,OPTIMAL,7,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7
iHN637,OPTIMAL,11,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7,OPTIMAL,9,OPTIMAL,8
iJB785,OPTIMAL,14,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7,OPTIMAL,8,OPTIMAL,7
iNJ661,OPTIMAL,61,OPTIMAL,9,OPTIMAL,8,OPTIMAL,8,OPTIMAL,7,OPTIMAL,22,OPTIMAL,23,OPTIMAL,41,OPTIMAL,41
iSynCJ816,ERROR,,ERROR,,ERROR,,ERROR,,ERROR,,ERROR,,ERROR,,ERROR,,ERROR,
iJN746,OPTIMAL,41,OPTIMAL,88,OPTIMAL,59,OPTIMAL,40,OPTIMAL,53,OPTIMAL,128,OPTIMAL,84,OPTIMAL,192,OPTIMAL,136
iJR904,OPTIMAL,21,OPTIMAL,11,OPTIMAL,8,OPTIMAL,8,OPTIMAL,7,OPTIMAL,9,OPTIMAL,9,OPTIMAL,78,OPTIMAL,14
iEK1008,OPTIMAL,20,OPTIMAL,7,OPTIMAL,7,OPTIMAL,6,OPTIMAL,6,OPTIMAL,10,OPTIMAL,9,OPTIMAL,21,OPTIMAL,10
iCN900,OPTIMAL,11,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,9,OPTIMAL,10,OPTIMAL,25
iYO844,OPTIMAL,26,OPTIMAL,11,OPTIMAL,7,OPTIMAL,7,OPTIMAL,7,OPTIMAL,9,OPTIMAL,8,OPTIMAL,10,OPTIMAL,49
iND750,OPTIMAL,46,OPTIMAL,13,OPTIMAL,8,OPTIMAL,9,OPTIMAL,9,OPTIMAL,10,OPTIMAL,19,OPTIMAL,15,OPTIMAL,43
iMM904,OPTIMAL,154,OPTIMAL,14,OPTIMAL,12,OPTIMAL,9,OPTIMAL,10,OPTIMAL,33,OPTIMAL,70,OPTIMAL,146,OPTIMAL,183
iRC1080,TIME_LIMIT,1800,OPTIMAL,125,OPTIMAL,77,OPTIMAL,63,OPTIMAL,131,ERROR,,OPTIMAL,412,OPTIMAL,290,ERROR,
iAF1260,OPTIMAL,166,OPTIMAL,27,OPTIMAL,20,OPTIMAL,18,OPTIMAL,15,OPTIMAL,15,OPTIMAL,42,OPTIMAL,89,OPTIMAL,1712
iSDY_1059,OPTIMAL,273,OPTIMAL,24,OPTIMAL,16,OPTIMAL,16,OPTIMAL,27,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,OPTIMAL,199
STM_v1_0,OPTIMAL,105,OPTIMAL,12,OPTIMAL,12,OPTIMAL,11,OPTIMAL,9,OPTIMAL,52,TIME_LIMIT,1800,OPTIMAL,934,OPTIMAL,1565
iJO1366,OPTIMAL,286,OPTIMAL,16,OPTIMAL,17,OPTIMAL,13,OPTIMAL,14,OPTIMAL,30,OPTIMAL,56,TIME_LIMIT,1800,TIME_LIMIT,1800
iSbBS512_1146,OPTIMAL,360,OPTIMAL,39,OPTIMAL,39,OPTIMAL,30,TIME_LIMIT,1800,ERROR,,ERROR,,ERROR,,ERROR,
iS_1188,OPTIMAL,311,OPTIMAL,25,OPTIMAL,24,OPTIMAL,16,OPTIMAL,30,OPTIMAL,21,OPTIMAL,43,TIME_LIMIT,1800,TIME_LIMIT,1800
iSFV_1184,OPTIMAL,442,OPTIMAL,36,OPTIMAL,22,OPTIMAL,25,OPTIMAL,1632,TIME_LIMIT,1800,OPTIMAL,60,OPTIMAL,42,TIME_LIMIT,1800
iSF_1195,OPTIMAL,452,OPTIMAL,28,OPTIMAL,13,OPTIMAL,37,OPTIMAL,29,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,OPTIMAL,1654
iSFxv_1172,OPTIMAL,301,OPTIMAL,23,OPTIMAL,21,OPTIMAL,18,OPTIMAL,23,TIME_LIMIT,1800,OPTIMAL,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iML1515,OPTIMAL,188,OPTIMAL,24,OPTIMAL,13,OPTIMAL,16,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iZ_1308,OPTIMAL,536,OPTIMAL,33,OPTIMAL,22,OPTIMAL,14,OPTIMAL,15,OPTIMAL,69,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iAPECO1_1312,OPTIMAL,954,OPTIMAL,24,OPTIMAL,23,OPTIMAL,23,OPTIMAL,27,OPTIMAL,97,OPTIMAL,1559,TIME_LIMIT,1800,TIME_LIMIT,1800
iECB_1328,OPTIMAL,486,OPTIMAL,23,OPTIMAL,18,OPTIMAL,17,OPTIMAL,20,OPTIMAL,68,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iETEC_1333,OPTIMAL,544,OPTIMAL,37,OPTIMAL,18,OPTIMAL,14,OPTIMAL,16,OPTIMAL,35,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iYS1720,OPTIMAL,463,OPTIMAL,44,OPTIMAL,28,OPTIMAL,39,OPTIMAL,73,OPTIMAL,203,OPTIMAL,1155,TIME_LIMIT,1800,TIME_LIMIT,1800
iMM1415,TIME_LIMIT,1800,OPTIMAL,125,OPTIMAL,150,OPTIMAL,296,OPTIMAL,808,OPTIMAL,1769,OPTIMAL,1380,TIME_LIMIT,1800,TIME_LIMIT,1800
RECON1,TIME_LIMIT,1800,OPTIMAL,106,OPTIMAL,163,OPTIMAL,406,OPTIMAL,1041,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iLB1027_lipid,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
Recon3D,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
