organism,termination_cb_big_m,time_cb_big_m,objective_value_cb_big_m,termination_ch,time_ch,objective_value_ch,termination_ch_mis_5,time_ch_mis_5,objective_value_ch_mis_5
e_coli_core,OPTIMAL,5,0.874,OPTIMAL,6,0.874,OPTIMAL,5,0.874
iAF692,OPTIMAL,7,0.013,OPTIMAL,10,0.027,OPTIMAL,10,0.027
iNF517,OPTIMAL,12,0.043,OPTIMAL,28,0.043,OPTIMAL,19,0.043
iNJ661,OPTIMAL,9,0.052,OPTIMAL,24,0.053,OPTIMAL,24,0.053
iJR904,OPTIMAL,12,0.922,OPTIMAL,11,0.922,OPTIMAL,11,0.922
iEK1008,OPTIMAL,9,0.058,OPTIMAL,36,0.058,OPTIMAL,36,0.058
iCN900,OPTIMAL,6,0.0,OPTIMAL,5,0.0,OPTIMAL,6,0.0
iMM904,OPTIMAL,24,0.287,OPTIMAL,75,0.288,OPTIMAL,76,0.288
iAF1260,OPTIMAL,39,0.737,OPTIMAL,207,0.737,OPTIMAL,207,0.737
iSDY_1059,OPTIMAL,46,0.938,OPTIMAL,201,0.938,OPTIMAL,204,0.938
iJO1366,OPTIMAL,52,0.982,OPTIMAL,993,0.982,OPTIMAL,1039,0.982
iSbBS512_1146,OPTIMAL,118,0.983,TIME_LIMIT,1800,0.978,TIME_LIMIT,1800,0.978
iS_1188,OPTIMAL,52,0.857,OPTIMAL,225,0.857,OPTIMAL,226,0.857
iSFV_1184,OPTIMAL,85,0.894,OPTIMAL,1156,0.894,OPTIMAL,1155,0.894
iSF_1195,OPTIMAL,43,0.915,OPTIMAL,313,0.915,OPTIMAL,320,0.915
iML1515,OPTIMAL,33,0.877,TIME_LIMIT,1800,0.877,TIME_LIMIT,1800,0.877
