organism,time_limit,termination_dp_Hull,objective_value_dp_Hull,time_dp_Hull,feasibility_dp_Hull,termination_dp_BigM_1000,objective_value_dp_BigM_1000,time_dp_BigM_1000,feasibility_dp_BigM_1000
iAF692,1800,OPTIMAL,0.0,4,true,OPTIMAL,0.0,1,true
iJR904,1800,OPTIMAL,0.0,5,true,OPTIMAL,0.922,163,true
iML1515,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,23,true
e_coli_core,1800,OPTIMAL,0.874,0,true,OPTIMAL,0.874,0,true
iNF517,1800,OPTIMAL,0.043,13,true,INFEASIBLE,NaN,0,false
iSB619,1800,OPTIMAL,0.158,79,true,INFEASIBLE,NaN,15,false
iNJ661,1800,OPTIMAL,0.052,528,true,OPTIMAL,0.053,833,true
iCN900,1800,OPTIMAL,0.0,7,true,OPTIMAL,0.0,0,true
iAF1260,1800,OPTIMAL,0.0,117,true,OPTIMAL,0.737,1398,true
iEK1008,1800,OPTIMAL,0.0,4,true,OPTIMAL,0.0,6,true
iJO1366,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,17,true
iMM904,1800,TIME_LIMIT,0.223,1800,false,OPTIMAL,0.288,1549,true
iSDY_1059,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.038,1800,false
iSFV_1184,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.894,765,true
iSF_1195,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,8,true
iS_1188,1800,TIME_LIMIT,0.349,1800,false,TIME_LIMIT,0.421,1800,false
iSbBS512_1146,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.983,1488,true
RECON1,1800,OPTIMAL,0.0,53,true,OPTIMAL,0.0,45,true
Recon3D,1800,TIME_LIMIT,NaN,1800,false,TIME_LIMIT,NaN,1800,false
iAB_RBC_283,1800,OPTIMAL,2.935,1,true,OPTIMAL,2.936,0,true
iAPECO1_1312,1800,TIME_LIMIT,0.36,1800,false,TIME_LIMIT,0.938,1800,false
iECB_1328,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,19,true
iETEC_1333,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,11,true
iHN637,1800,OPTIMAL,0.224,47,true,OPTIMAL,0.224,44,true
iIS312_Amastigote,1800,OPTIMAL,25.339,1,true,OPTIMAL,25.339,1,true
iJB785,1800,INFEASIBLE,NaN,0,false,INFEASIBLE,NaN,1,false
