organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,seed,termination_fba,objective_value_fba,time_fba,feasibility_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m,termination_cb_indicator_and_big_m,objective_value_cb_indicator_and_big_m,time_cb_indicator_and_big_m,feasibility_cb_indicator_and_big_m,cuts_cb_indicator_and_big_m,iter_cb_indicator_and_big_m,metabolites,reactions
e_coli_core,1800,OPTIMAL,1.606,0,true,1,OPTIMAL,1.606,0,true,OPTIMAL,1.606,7,true,0,1,0,0,2,OPTIMAL,1.606,6,true,0,1,OPTIMAL,1.606,7,true,0,1,72,95
e_coli_core,1800,INFEASIBLE,NaN,0,false,2,ERROR,,,false,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,72,95
e_coli_core,1800,OPTIMAL,0.396,0,true,3,OPTIMAL,0.396,0,true,OPTIMAL,0.396,7,true,0,1,0,0,2,OPTIMAL,0.396,5,true,0,1,OPTIMAL,0.396,7,true,0,1,72,95
iAF692,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,0,true,OPTIMAL,0.0,16,true,0,1,9,0,2,OPTIMAL,0.0,5,true,0,1,OPTIMAL,0.0,9,true,0,1,628,690
iAF692,1800,TIME_LIMIT,0.02,1800,false,2,OPTIMAL,0.0,0,true,OPTIMAL,0.036,16,true,0,1,9,0,2,OPTIMAL,0.036,5,true,0,1,OPTIMAL,0.036,10,true,0,1,628,690
iAF692,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.003,0,true,OPTIMAL,0.003,16,true,0,1,9,0,2,OPTIMAL,0.003,5,true,0,1,OPTIMAL,0.003,9,true,0,1,628,690
iSB619,1800,OPTIMAL,0.0,0,true,1,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,5,true,0,1,ERROR,,,false,,,655,743
iSB619,1800,OPTIMAL,0.0,12,true,2,OPTIMAL,0.0,0,true,OPTIMAL,0.0,11,true,0,1,4,0,2,OPTIMAL,0.0,5,true,0,1,OPTIMAL,0.0,8,true,0,1,655,743
iSB619,1800,OPTIMAL,0.0,2,true,3,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,5,true,0,1,ERROR,,,false,,,655,743
iNF517,1800,OPTIMAL,0.351,2,true,1,OPTIMAL,0.351,0,true,OPTIMAL,0.351,19,true,0,1,10,0,3,OPTIMAL,0.351,6,true,1,1,OPTIMAL,0.351,8,true,0,1,650,754
iNF517,1800,OPTIMAL,0.643,6,true,2,OPTIMAL,0.643,0,true,OPTIMAL,0.643,11,true,0,1,2,0,3,OPTIMAL,0.643,5,true,0,1,OPTIMAL,0.643,11,true,1,1,650,754
iNF517,1800,OPTIMAL,1.33,1,true,3,OPTIMAL,1.333,0,true,OPTIMAL,1.33,13,true,2,2,1,0,1,OPTIMAL,1.33,5,true,0,1,OPTIMAL,1.33,10,true,1,1,650,754
iJR904,1800,TIME_LIMIT,0.214,1800,false,1,OPTIMAL,0.227,0,true,OPTIMAL,0.0,10,true,0,1,2,0,2,OPTIMAL,0.227,5,true,0,1,OPTIMAL,0.227,9,true,0,1,761,1075
iJR904,1800,TIME_LIMIT,0.61,1800,false,2,OPTIMAL,0.645,0,true,OPTIMAL,0.645,13,true,0,1,3,0,4,OPTIMAL,0.645,5,true,0,1,OPTIMAL,0.645,8,true,0,1,761,1075
iJR904,1800,TIME_LIMIT,0.0,1800,false,3,OPTIMAL,1.147,0,true,OPTIMAL,1.147,13,true,0,1,3,0,3,OPTIMAL,1.147,5,true,0,1,OPTIMAL,1.147,9,true,0,1,761,1075
iEK1008,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,40,true,ERROR,,,false,,,,,,OPTIMAL,0.0,1800,true,0,1,ERROR,,,false,,,998,1226
iEK1008,1800,TIME_LIMIT,NaN,1800,false,2,OPTIMAL,0.0,43,true,ERROR,,,false,,,,,,ERROR,,,false,,,ERROR,,,false,,,998,1226
iEK1008,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,43,true,ERROR,,,false,,,,,,OPTIMAL,0.218,1800,true,0,1,ERROR,,,false,,,998,1226
iCN900,1800,OPTIMAL,0.0,4,true,1,OPTIMAL,0.0,0,true,OPTIMAL,0.0,9,true,0,1,1,0,3,ERROR,,,false,,,OPTIMAL,0.0,9,true,0,1,885,1229
iCN900,1800,OPTIMAL,-0.0,1,true,2,OPTIMAL,0.0,0,true,OPTIMAL,0.0,9,true,0,1,2,0,3,OPTIMAL,0.0,7,true,0,1,OPTIMAL,0.0,8,true,0,1,885,1229
iCN900,1800,OPTIMAL,0.0,1,true,3,OPTIMAL,0.0,0,true,OPTIMAL,0.0,13,true,0,1,2,0,4,OPTIMAL,0.0,7,true,0,1,OPTIMAL,0.0,9,true,0,1,885,1229
iMM904,1800,TIME_LIMIT,0.0,1800,false,1,OPTIMAL,1.43,0,false,OPTIMAL,1.43,701,true,5,5,114,0,1,OPTIMAL,1.43,12,true,3,3,OPTIMAL,1.43,23,true,2,2,1226,1577
iMM904,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.99,0,false,OPTIMAL,0.989,59,true,2,2,15,0,1,OPTIMAL,0.989,12,true,3,3,ERROR,,,false,,,1226,1577
iMM904,1800,TIME_LIMIT,0.0,1800,false,3,OPTIMAL,0.851,0,false,OPTIMAL,0.851,97,true,4,4,17,0,1,OPTIMAL,0.851,10,true,4,4,OPTIMAL,0.851,23,true,2,2,1226,1577
iAF1260,1800,TIME_LIMIT,0.0,1800,false,1,OPTIMAL,0.0,0,true,OPTIMAL,0.295,40,true,0,1,28,0,4,OPTIMAL,0.295,7,true,0,1,OPTIMAL,0.295,25,true,0,1,1668,2382
iAF1260,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,7,true,0,1,ERROR,,,false,,,1668,2382
iAF1260,1800,TIME_LIMIT,0.0,1800,false,3,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,7,true,0,1,ERROR,,,false,,,1668,2382
