organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba
iAF692,1800,OPTIMAL,0.027,0,true
iJR904,1800,OPTIMAL,0.869,28,true
iML1515,1800,OPTIMAL,0.877,99,true
e_coli_core,1800,OPTIMAL,0.874,0,true
iNF517,1800,OPTIMAL,0.043,2,false
iSB619,1800,OPTIMAL,0.158,1,true
iNJ661,1800,OPTIMAL,0.053,0,true
iCN900,1800,OPTIMAL,-0.0,0,true
iAF1260,1800,OPTIMAL,0.733,102,true
iEK1008,1800,OPTIMAL,0.058,18,true
iJO1366,1800,OPTIMAL,0.982,62,true
iMM904,1800,OPTIMAL,0.288,1,true
iSDY_1059,1800,OPTIMAL,0.938,50,true
iSFV_1184,1800,OPTIMAL,0.894,105,true
iSF_1195,1800,OPTIMAL,0.915,43,true
iS_1188,1800,OPTIMAL,0.857,23,true
iSbBS512_1146,1800,OPTIMAL,0.983,74,true
