organism,termination_ll_fba,time_ll_fba,objective_value_ll_fba,termination_ll_fba_nullspace,time_ll_fba_nullspace,objective_value_ll_fba_nullspace
e_coli_core,OPTIMAL,0,0.874,OPTIMAL,0,0.874
iAB_RBC_283,OPTIMAL,0,2.936,OPTIMAL,2,2.936
iIS312_Amastigote,OPTIMAL,0,25.339,OPTIMAL,0,25.339
iAF692,OPTIMAL,0,0.0,TIME_LIMIT,1800,0.026
iSB619,OPTIMAL,0,0.0,TIME_LIMIT,1800,0.027
iNF517,OPTIMAL,9,0.043,OPTIMAL,39,0.043
iHN637,OPTIMAL,4,0.224,OPTIMAL,5,0.224
iJB785,OPTIMAL,15,0.054,OPTIMAL,25,0.0
iNJ661,TIME_LIMIT,1800,0.014,OPTIMAL,227,0.053
iSynCJ816,OPTIMAL,1,0.0,INFEASIBLE,34,NaN
iJN746,OPTIMAL,332,1.4,TIME_LIMIT,1800,NaN
iJR904,OPTIMAL,9,0.0,OPTIMAL,163,0.922
iEK1008,OPTIMAL,473,0.0,OPTIMAL,503,0.058
iCN900,OPTIMAL,0,0.0,OPTIMAL,27,0.0
iYO844,TIME_LIMIT,1800,0.115,TIME_LIMIT,1800,0.0
iND750,OPTIMAL,8,0.0,OPTIMAL,151,0.0
iMM904,OPTIMAL,650,0.277,TIME_LIMIT,1800,0.0
iRC1080,OPTIMAL,373,0.0,TIME_LIMIT,1800,NaN
iAF1260,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iSDY_1059,OPTIMAL,1457,0.938,TIME_LIMIT,1800,0.0
STM_v1_0,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iJO1366,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iSbBS512_1146,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iS_1188,TIME_LIMIT,1800,0.832,TIME_LIMIT,1800,0.0
iSFV_1184,OPTIMAL,1710,0.894,TIME_LIMIT,1800,0.0
iSF_1195,OPTIMAL,1584,0.915,TIME_LIMIT,1800,-0.0
iSFxv_1172,OPTIMAL,966,0.894,TIME_LIMIT,1800,0.0
iML1515,TIME_LIMIT,1800,0.861,TIME_LIMIT,1800,NaN
iZ_1308,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iAPECO1_1312,TIME_LIMIT,1800,0.934,TIME_LIMIT,1800,0.0
iECB_1328,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iETEC_1333,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.0
iYS1720,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,NaN
iMM1415,OPTIMAL,1550,0.0,TIME_LIMIT,1800,NaN
RECON1,OPTIMAL,83,0.0,TIME_LIMIT,1800,NaN
iLB1027_lipid,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,NaN
Recon3D,TIME_LIMIT,1800,NaN,TIME_LIMIT,1800,NaN
