organism,mean,termination_loopless_fba,time_loopless_fba,objective_value_loopless_fba,termination_combinatorial_benders_big_m,time_combinatorial_benders_big_m,objective_value_combinatorial_benders_big_m,iter_combinatorial_benders_big_m,termination_combinatorial_benders_big_m_0_5,time_combinatorial_benders_big_m_0_5,objective_value_combinatorial_benders_big_m_0_5,iter_combinatorial_benders_big_m_0_5
e_coli_core,1.0,OPTIMAL,0.053028,0.7596130044451351,OPTIMAL,4.890618085861206,0.7596130044451347,1,OPTIMAL,4.298110008239746,0.7596130044451347,1
e_coli_core,1.2,OPTIMAL,0.060027,1.249451125458348,OPTIMAL,4.846167087554932,1.2494511254583482,1,OPTIMAL,4.344997882843018,1.2494511254583482,1
e_coli_core,1.5,OPTIMAL,0.052815999999999995,2.5704838434592925,OPTIMAL,4.789896011352539,2.5704838434592903,1,OPTIMAL,4.477190017700195,2.5704838434592903,1
iAF692,1.0,TIME_LIMIT,1800.000402,0.002458826019860905,OPTIMAL,5.437774896621704,0.0028395390772253007,1,OPTIMAL,4.9878339767456055,0.0028395390772253007,1
iAF692,1.2,OPTIMAL,1434.448217,0.009622000349208277,OPTIMAL,5.528153896331787,0.0096220783688124,1,OPTIMAL,4.952939033508301,0.0096220783688124,1
iAF692,1.5,OPTIMAL,594.870576,0.02219931316155609,OPTIMAL,5.544837951660156,0.02791390456341919,1,OPTIMAL,5.004687070846558,0.02791390456341919,1
iAF692,4.0,TIME_LIMIT,1800.00031,0.0,OPTIMAL,10.78844690322876,11.587538658976484,12,OPTIMAL,8.626980066299438,11.587494166273759,5
iSB619,1.0,OPTIMAL,4.31632,0.0005192487071118892,OPTIMAL,5.284614086151123,0.001412283725406877,1,OPTIMAL,4.809913873672485,0.001412283725406877,1
iSB619,1.2,OPTIMAL,40.575114,0.0008229536978188035,OPTIMAL,5.361986875534058,0.0022383188603397643,1,OPTIMAL,4.786617040634155,0.0022383188603397643,1
iSB619,1.5,OPTIMAL,142.600554,0.001642008586571232,OPTIMAL,5.536907911300659,0.004466032855814429,1,OPTIMAL,4.866044998168945,0.004466032855814429,1
iSB619,4.0,TIME_LIMIT,1800.00023,0.0,ERROR,NaN,,,ERROR,NaN,,
iSB619,5.0,TIME_LIMIT,1800.00104,0.0,ERROR,NaN,,,ERROR,NaN,,
iNF517,1.0,OPTIMAL,12.494924,1.3011808366722157,OPTIMAL,5.372905969619751,1.3011808188627305,1,OPTIMAL,4.695510149002075,1.3011808188627305,1
iNF517,1.2,OPTIMAL,1.952869,2.062232650202517,OPTIMAL,6.87847900390625,2.062232621976143,1,OPTIMAL,6.147557973861694,2.062232621976143,1
iNF517,1.5,OPTIMAL,18.951161,4.114668389296605,OPTIMAL,6.817358016967773,4.114695035328464,1,OPTIMAL,6.1465229988098145,4.114695035328464,1
iHN637,1.0,OPTIMAL,27.933522,0.6621751382792723,OPTIMAL,4.855484962463379,0.662175165463256,1,OPTIMAL,5.34356689453125,0.662175165463256,1
iHN637,1.2,OPTIMAL,22.319085,1.0507924505625466,OPTIMAL,5.302804946899414,1.0507924505625454,1,OPTIMAL,5.320267915725708,1.0507924505625454,1
iHN637,1.5,OPTIMAL,5.940455,2.0988451893855187,OPTIMAL,5.284198045730591,2.098845230175234,1,OPTIMAL,5.341193914413452,2.098845230175234,1
iHN637,4.0,OPTIMAL,7.28971,24.012283770407038,OPTIMAL,6.839070081710815,24.012283770406466,1,OPTIMAL,6.204901218414307,24.012283770406466,1
iHN637,5.0,OPTIMAL,2.246602,24.012283770406693,ERROR,NaN,,,OPTIMAL,7.790832996368408,24.012283770251088,8
iEK1008,1.0,TIME_LIMIT,1834.881214,,OPTIMAL,1016.3879780769348,0.27898915342466984,1,OPTIMAL,1051.9271788597107,0.27898915342466984,1
iEK1008,1.2,TIME_LIMIT,1845.369155,,ERROR,NaN,,,ERROR,NaN,,
iEK1008,1.5,TIME_LIMIT,1803.6422,,OPTIMAL,2450.8296439647675,0.9269845230505711,1,OPTIMAL,2463.109941959381,0.9269845230505711,1
iEK1008,4.0,TIME_LIMIT,1833.239634,,ERROR,NaN,,,ERROR,NaN,,
iEK1008,5.0,TIME_LIMIT,1802.732867,,ERROR,NaN,,,ERROR,NaN,,
iND750,1.0,TIME_LIMIT,1800.00035,,OPTIMAL,7.652301073074341,0.51801677483366,1,OPTIMAL,7.790385007858276,0.51801677483366,1
iND750,1.2,TIME_LIMIT,1800.000363,0.0,OPTIMAL,7.530508995056152,0.8210012600145401,1,OPTIMAL,7.674918174743652,0.8210012600145401,1
iND750,1.5,TIME_LIMIT,1800.000292,1.6327792114422865,OPTIMAL,7.526052951812744,1.6381128746489695,1,OPTIMAL,7.945038080215454,1.6381128746489695,1
iMM904,1.0,TIME_LIMIT,1800.00056,0.0,OPTIMAL,9.964667081832886,0.28092656499797874,4,OPTIMAL,8.131304025650024,0.28092653357860764,1
iMM904,1.2,TIME_LIMIT,1800.000319,0.0,OPTIMAL,9.519694089889526,0.4516449626189743,4,OPTIMAL,9.018944025039673,0.4516449626189743,2
iMM904,1.5,TIME_LIMIT,1800.000513,0.0,OPTIMAL,9.507572174072266,0.9120516845768718,4,OPTIMAL,10.84817099571228,0.9120516908820412,3
iAF1260,1.0,TIME_LIMIT,1800.000422,0.0,OPTIMAL,7.685340166091919,1.4012945701140609,1,OPTIMAL,6.775780916213989,1.4012945701140609,1
iAF1260,1.2,TIME_LIMIT,1800.000586,0.0,OPTIMAL,7.7829649448394775,2.236677001957677,1,OPTIMAL,7.719903945922852,2.236677001957677,1
iAF1260,1.5,TIME_LIMIT,1800.021186,0.0,OPTIMAL,7.091124057769775,4.489600453395249,1,OPTIMAL,7.074609994888306,4.489600453395249,1
iSDY_1059,1.0,TIME_LIMIT,1800.00167,0.0,OPTIMAL,6.093968868255615,0.610004894850007,1,OPTIMAL,6.447512865066528,0.610004894850007,1
iSDY_1059,1.2,TIME_LIMIT,1800.000622,,ERROR,NaN,,,ERROR,NaN,,
iSDY_1059,5.0,TIME_LIMIT,1800.000635,,ERROR,NaN,,,ERROR,NaN,,
STM_v1_0,1.0,TIME_LIMIT,1800.001134,0.0,OPTIMAL,7.944760084152222,0.3272999104002899,1,OPTIMAL,7.900230884552002,0.3272999104002899,1
STM_v1_0,1.2,TIME_LIMIT,1800.002945,0.0,OPTIMAL,7.748307943344116,0.5367526945854173,1,OPTIMAL,8.73026704788208,0.5367526945854173,1
STM_v1_0,1.5,TIME_LIMIT,1800.001112,,ERROR,NaN,,,ERROR,NaN,,
iJO1366,1.0,TIME_LIMIT,1800.010293,,OPTIMAL,8.018270015716553,0.23448338133224994,1,OPTIMAL,8.156951904296875,0.23448338133224994,1
iJO1366,1.2,TIME_LIMIT,1800.00845,0.0,OPTIMAL,8.332278966903687,0.38192620762251867,1,OPTIMAL,8.294510841369629,0.38192620762251867,1
iJO1366,1.5,TIME_LIMIT,1800.00096,0.0,OPTIMAL,8.67639708518982,0.7795611773254858,1,OPTIMAL,8.929144144058228,0.7795611773254858,1
iSbBS512_1146,1.0,TIME_LIMIT,1800.000652,,OPTIMAL,8.301983118057251,0.09881412538828221,1,OPTIMAL,8.32918095588684,0.09881412538828221,1
iSbBS512_1146,1.2,TIME_LIMIT,1800.000647,,OPTIMAL,7.907542943954468,0.16263559997964466,1,OPTIMAL,7.908293008804321,0.16263559997964466,1
iSbBS512_1146,1.5,TIME_LIMIT,1800.002415,,OPTIMAL,7.169148921966553,0.33475362688975013,1,OPTIMAL,8.106781959533691,0.33475362688975013,1
iS_1188,1.0,TIME_LIMIT,1800.000749,,OPTIMAL,7.2491748332977295,0.3317815714696249,1,OPTIMAL,7.888341903686523,0.3317815714696249,1
iS_1188,1.2,TIME_LIMIT,1800.001305,0.0,OPTIMAL,8.253798961639404,0.5380445215188364,1,OPTIMAL,8.495402097702026,0.5380445215188364,1
iS_1188,1.5,TIME_LIMIT,1800.000876,,OPTIMAL,8.169444799423218,1.094309739252213,1,OPTIMAL,8.002380132675171,1.094309739252213,1
iSFV_1184,1.0,TIME_LIMIT,1800.000868,,OPTIMAL,7.58801007270813,0.1411111606243245,1,OPTIMAL,11.336403846740723,0.1411111606243245,1
iSFV_1184,1.2,TIME_LIMIT,1800.000808,,OPTIMAL,7.3202550411224365,0.2418110506360469,1,OPTIMAL,10.406109094619751,0.2418110506360469,1
iSFV_1184,1.5,TIME_LIMIT,1800.000811,,ERROR,NaN,,,ERROR,NaN,,
iSFV_1184,4.0,TIME_LIMIT,1800.003245,,ERROR,NaN,,,ERROR,NaN,,
iSFV_1184,5.0,TIME_LIMIT,1800.001706,,ERROR,NaN,,,ERROR,NaN,,
iSF_1195,1.0,TIME_LIMIT,1800.000792,,ERROR,NaN,,,ERROR,NaN,,
iSF_1195,1.2,TIME_LIMIT,1800.000886,0.0,OPTIMAL,8.295444965362549,0.5647348348499549,1,OPTIMAL,9.528409004211426,0.5647348348499549,1
iSF_1195,1.5,TIME_LIMIT,1800.001345,0.0,OPTIMAL,8.555338859558105,1.1477974488012366,1,OPTIMAL,9.628301858901978,1.1477974488012366,1
iSF_1195,5.0,TIME_LIMIT,1800.001368,,ERROR,NaN,,,ERROR,NaN,,
iSFxv_1172,1.0,TIME_LIMIT,1800.001792,,OPTIMAL,7.488262891769409,0.36698082791486464,1,OPTIMAL,8.464566946029663,0.36698082791486464,1
iSFxv_1172,1.5,TIME_LIMIT,1800.001557,,OPTIMAL,7.739697217941284,1.167668057451226,1,OPTIMAL,8.503105878829956,1.167668057451226,1
iML1515,1.0,TIME_LIMIT,1800.001193,,ERROR,NaN,,,ERROR,NaN,,
iML1515,1.2,TIME_LIMIT,1800.004581,,OPTIMAL,9.950021028518677,1.4502006507105645,1,OPTIMAL,9.113920211791992,1.4502006507105645,1
iML1515,1.5,TIME_LIMIT,1800.004312,,OPTIMAL,8.927612066268921,2.933272697921888,1,OPTIMAL,8.089004039764404,2.933272697921888,1
iZ_1308,1.0,TIME_LIMIT,1800.001394,0.0,ERROR,NaN,,,ERROR,NaN,,
iZ_1308,1.2,TIME_LIMIT,1800.000837,0.0,OPTIMAL,8.541078090667725,1.2389365041366796,1,OPTIMAL,9.541454076766968,1.2389365041366796,1
iZ_1308,1.5,TIME_LIMIT,1800.000721,0.0,ERROR,NaN,,,ERROR,NaN,,
iAPECO1_1312,1.0,TIME_LIMIT,1800.000773,0.0,OPTIMAL,7.635362148284912,0.48614513465639453,1,OPTIMAL,8.538803100585938,0.48614513465639453,1
iAPECO1_1312,1.2,TIME_LIMIT,1800.000636,0.0,OPTIMAL,7.3334059715271,0.7848357624092799,1,OPTIMAL,8.107322931289673,0.7848357624092799,1
iAPECO1_1312,1.5,TIME_LIMIT,1800.00072,,ERROR,NaN,,,ERROR,NaN,,
iAPECO1_1312,5.0,TIME_LIMIT,1800.000559,,ERROR,NaN,,,ERROR,NaN,,
iECB_1328,1.0,TIME_LIMIT,1800.001886,0.0,OPTIMAL,13.188517093658447,0.3943778695351155,1,OPTIMAL,14.37033200263977,0.3943778695351155,1
iECB_1328,1.2,TIME_LIMIT,1800.005413,,OPTIMAL,7.7112579345703125,0.6423381647870913,1,OPTIMAL,8.55149507522583,0.6423381647870913,1
iECB_1328,1.5,TIME_LIMIT,1800.000868,,OPTIMAL,11.45565390586853,1.3110407980890544,1,OPTIMAL,12.599063873291016,1.3110407980890544,1
iECB_1328,5.0,TIME_LIMIT,1800.000957,,ERROR,NaN,,,ERROR,NaN,,
iETEC_1333,1.0,TIME_LIMIT,1800.000986,,OPTIMAL,8.071705102920532,0.13200702700619066,1,OPTIMAL,9.11127495765686,0.13200702700619066,1
iETEC_1333,1.2,TIME_LIMIT,1800.001201,,OPTIMAL,8.037649154663086,0.2279878437748349,1,OPTIMAL,8.893173933029175,0.2279878437748349,1
iETEC_1333,1.5,TIME_LIMIT,1800.00128,,OPTIMAL,8.50923204421997,0.48683620343004597,1,OPTIMAL,9.509262084960938,0.48683620343004597,1
iYS1720,1.0,TIME_LIMIT,1800.001192,,ERROR,NaN,,,ERROR,NaN,,
iYS1720,1.2,TIME_LIMIT,1800.002317,,OPTIMAL,19.95283007621765,0.9324892502507987,1,OPTIMAL,22.056538820266724,0.9324892502507987,1
iYS1720,1.5,TIME_LIMIT,1800.000967,0.0,OPTIMAL,10.042659044265747,1.9246988288567453,1,OPTIMAL,10.059678077697754,1.9246988288567453,1
iYS1720,4.0,TIME_LIMIT,1800.001532,0.0,OPTIMAL,45.86793398857117,29.39427901706372,24,OPTIMAL,20.755330085754395,29.394279017063408,2
iLB1027_lipid,1.0,TIME_LIMIT,1800.001646,0.0,OPTIMAL,12.523854970932007,0.021313502200321063,1,OPTIMAL,12.488582134246826,0.021313502200321063,1
iLB1027_lipid,1.2,TIME_LIMIT,1800.001808,,ERROR,NaN,,,ERROR,NaN,,
iLB1027_lipid,1.5,TIME_LIMIT,1800.030776,,OPTIMAL,12.954715013504028,0.06739926413605123,1,OPTIMAL,12.620200157165527,0.06739926413605123,1
iLB1027_lipid,4.0,TIME_LIMIT,1800.00115,,OPTIMAL,15.498013019561768,1.8215509500270957,2,OPTIMAL,22.173150062561035,1.8215509500270957,1
Recon3D,1.0,TIME_LIMIT,1800.032762,,TIME_LIMIT,2045.4437630176544,199.94735774180623,14,TIME_LIMIT,2159.5095179080963,199.9473577418062,3
Recon3D,1.2,TIME_LIMIT,1926.73723,,TIME_LIMIT,1826.305671930313,258.13316720401036,23,ERROR,NaN,,
Recon3D,1.5,TIME_LIMIT,1800.188237,,TIME_LIMIT,1808.015823841095,350.5206293461851,29,TIME_LIMIT,2035.0377609729767,350.5206293461851,3
Recon3D,4.0,TIME_LIMIT,1800.037257,,TIME_LIMIT,1845.1226258277893,755.0032155506633,24,TIME_LIMIT,2547.250073194504,755.0032155506632,4
Recon3D,5.0,TIME_LIMIT,1800.044396,,TIME_LIMIT,1805.7629418373108,755.003215550663,77,TIME_LIMIT,1954.6040179729462,755.0032155506632,4
