organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m,times_master_problem_cb_big_m,times_sub_problem_cb_big_m,times_mis_problem_cb_big_m,termination_cb_mis_0.1,objective_value_cb_mis_0.1,time_cb_mis_0.1,feasibility_cb_mis_0.1,cuts_cb_mis_0.1,iter_cb_mis_0.1,times_master_problem_mis_0.1,times_sub_problem_mis_0.1,times_mis_problem_mis_0.1,termination_cb_big_m_mis_0.1,objective_value_cb_big_m_mis_0.1,time_cb_big_m_mis_0.1,feasibility_cb_big_m_mis_0.1,cuts_cb_big_m_mis_0.1,iter_cb_big_m_mis_0.1,times_master_problem_big_m_mis_0.1,times_sub_problem_big_m_mis_0.1,times_mis_problem_big_m_mis_0.1,termination_cb_mis_0.2,objective_value_cb_mis_0.2,time_cb_mis_0.2,feasibility_cb_mis_0.2,cuts_cb_mis_0.2,iter_cb_mis_0.2,times_master_problem_mis_0.2,times_sub_problem_mis_0.2,times_mis_problem_mis_0.2,termination_cb_big_m_mis_0.2,objective_value_cb_big_m_mis_0.2,time_cb_big_m_mis_0.2,feasibility_cb_big_m_mis_0.2,cuts_cb_big_m_mis_0.2,iter_cb_big_m_mis_0.2,times_master_problem_big_m_mis_0.2,times_sub_problem_big_m_mis_0.2,times_mis_problem_big_m_mis_0.2,termination_cb_mis_0.5,objective_value_cb_mis_0.5,time_cb_mis_0.5,feasibility_cb_mis_0.5,cuts_cb_mis_0.5,iter_cb_mis_0.5,times_master_problem_mis_0.5,times_sub_problem_mis_0.5,times_mis_problem_mis_0.5,termination_cb_big_m_mis_0.5,objective_value_cb_big_m_mis_0.5,time_cb_big_m_mis_0.5,feasibility_cb_big_m_mis_0.5,cuts_cb_big_m_mis_0.5,iter_cb_big_m_mis_0.5,times_master_problem_big_m_mis_0.5,times_sub_problem_big_m_mis_0.5,times_mis_problem_big_m_mis_0.5,termination_cb_mis_2.0,objective_value_cb_mis_2.0,time_cb_mis_2.0,feasibility_cb_mis_2.0,cuts_cb_mis_2.0,iter_cb_mis_2.0,times_master_problem_mis_2.0,times_sub_problem_mis_2.0,times_mis_problem_mis_2.0,termination_cb_big_m_mis_2.0,objective_value_cb_big_m_mis_2.0,time_cb_big_m_mis_2.0,feasibility_cb_big_m_mis_2.0,cuts_cb_big_m_mis_2.0,iter_cb_big_m_mis_2.0,times_master_problem_big_m_mis_2.0,times_sub_problem_big_m_mis_2.0,times_mis_problem_big_m_mis_2.0
Hanseniaspora_uvarum,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.082,1800,false,175,176,9,0,0,TIME_LIMIT,0.082,1800,false,1270,1271,1,0,0,TIME_LIMIT,0.082,1800,false,398,82,16,0,0,TIME_LIMIT,0.082,1800,false,1934,399,3,0,0,TIME_LIMIT,0.082,1800,false,632,85,16,0,1,TIME_LIMIT,0.082,1800,false,2484,337,3,0,1,TIME_LIMIT,0.082,1800,false,875,72,15,0,1,TIME_LIMIT,0.082,1800,false,3390,281,3,0,1,TIME_LIMIT,0.082,1800,false,1177,30,26,0,4,TIME_LIMIT,0.082,1800,false,5948,164,4,0,5
yHMPu5000035696_Hanseniaspora_singularis,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.082,1800,false,178,179,9,0,0,TIME_LIMIT,0.082,1800,false,1365,1366,1,0,0,TIME_LIMIT,0.082,1800,false,460,94,16,0,1,TIME_LIMIT,0.082,1800,false,2061,416,3,0,1,TIME_LIMIT,0.082,1800,false,425,65,24,0,1,TIME_LIMIT,0.082,1800,false,2490,351,3,0,1,TIME_LIMIT,0.082,1800,false,698,69,18,0,1,TIME_LIMIT,0.082,1800,false,3091,257,3,0,1,TIME_LIMIT,0.082,1800,false,1274,34,28,0,4,TIME_LIMIT,0.082,1800,false,3469,89,8,0,5
yHMPu5000034963_Hanseniaspora_clermontiae,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.082,1800,false,317,318,5,0,0,TIME_LIMIT,0.082,1800,false,1299,1300,1,0,0,TIME_LIMIT,0.082,1800,false,589,121,11,0,0,TIME_LIMIT,0.082,1800,false,1677,345,3,0,0,TIME_LIMIT,0.082,1800,false,720,97,13,0,1,TIME_LIMIT,0.082,1800,false,2349,323,3,0,1,TIME_LIMIT,0.082,1800,false,858,71,14,0,1,TIME_LIMIT,0.082,1800,false,3606,295,3,0,1,TIME_LIMIT,0.082,1800,false,1310,35,24,0,4,TIME_LIMIT,0.082,1800,false,3638,99,5,0,4
yHMPu5000035695_Hanseniaspora_pseudoguilliermondii,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.082,1800,false,313,314,5,0,0,TIME_LIMIT,0.082,1800,false,1426,1427,1,0,0,TIME_LIMIT,0.082,1800,false,567,143,10,0,0,TIME_LIMIT,0.082,1800,false,1857,441,2,0,0,TIME_LIMIT,0.082,1800,false,488,90,15,0,1,TIME_LIMIT,0.082,1800,false,1871,242,4,0,1,TIME_LIMIT,0.082,1800,false,966,85,14,0,1,TIME_LIMIT,0.082,1800,false,3728,304,3,0,1,ERROR,,,,,,,,,TIME_LIMIT,0.082,1800,false,5883,168,4,0,4
yHMPu5000035684_Kloeckera_hatyaiensis,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.082,1800,false,299,300,5,0,0,TIME_LIMIT,0.082,1800,false,1391,1392,1,0,0,TIME_LIMIT,0.082,1800,false,494,100,14,0,1,TIME_LIMIT,0.082,1800,false,1880,379,3,0,1,TIME_LIMIT,0.082,1800,false,657,88,16,0,1,TIME_LIMIT,0.082,1800,false,2223,290,4,0,1,TIME_LIMIT,0.082,1800,false,722,62,24,0,2,TIME_LIMIT,0.082,1800,false,2460,197,4,0,1,TIME_LIMIT,0.082,1800,false,1377,36,33,0,4,TIME_LIMIT,0.082,1800,false,5000,132,5,0,5
Eremothecium_sinecaudum,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.087,1800,false,336,337,5,0,0,TIME_LIMIT,0.087,1800,false,1387,1388,1,0,0,TIME_LIMIT,0.087,1800,false,607,155,9,0,0,TIME_LIMIT,0.087,1800,false,1409,356,3,0,0,TIME_LIMIT,0.087,1800,false,722,120,11,0,0,TIME_LIMIT,0.087,1800,false,1651,277,4,0,0,TIME_LIMIT,0.087,1800,false,1160,95,13,0,1,TIME_LIMIT,0.087,1800,false,2257,183,5,0,1,TIME_LIMIT,0.087,1800,false,1528,46,26,0,3,TIME_LIMIT,0.087,1800,false,3886,113,8,0,4
yHMPu5000035659_Saturnispora_dispora,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.084,1800,false,448,449,4,0,0,TIME_LIMIT,0.084,1800,false,1277,1278,1,0,0,TIME_LIMIT,0.084,1800,false,746,251,6,0,0,TIME_LIMIT,0.084,1800,false,1314,432,2,0,0,TIME_LIMIT,0.084,1800,false,759,141,10,0,1,TIME_LIMIT,0.084,1800,false,2386,390,3,0,1,TIME_LIMIT,0.084,1800,false,1464,143,9,0,1,OPTIMAL,0.084,1254,true,2517,246,3,0,1,TIME_LIMIT,0.084,1800,false,2288,74,16,0,3,TIME_LIMIT,0.084,1800,false,3678,124,6,0,3
Tortispora_caseinolytica,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.097,1800,false,196,197,8,0,0,TIME_LIMIT,0.097,1800,false,1266,1267,1,0,0,TIME_LIMIT,0.097,1800,false,493,103,13,0,1,TIME_LIMIT,0.097,1800,false,1684,363,3,0,1,TIME_LIMIT,0.097,1800,false,663,98,12,0,1,TIME_LIMIT,0.097,1800,false,2326,355,3,0,1,TIME_LIMIT,0.097,1800,false,726,61,20,0,1,TIME_LIMIT,0.097,1800,false,3098,262,4,0,1,TIME_LIMIT,0.097,1800,false,1532,39,30,0,3,TIME_LIMIT,0.097,1800,false,5483,154,4,0,4
Starmerella_bombicola_JCM9596,1800,TIME_LIMIT,NaN,1800,false,TIME_LIMIT,0.067,1800,false,313,314,5,0,0,TIME_LIMIT,0.067,1800,false,1311,1312,1,0,0,TIME_LIMIT,0.067,1800,false,444,113,10,0,1,TIME_LIMIT,0.067,1800,false,1850,458,2,0,1,TIME_LIMIT,0.067,1800,false,777,152,9,0,0,TIME_LIMIT,0.067,1800,false,2200,341,3,0,1,TIME_LIMIT,0.067,1800,false,1231,110,12,0,1,TIME_LIMIT,0.067,1800,false,3269,269,3,0,1,TIME_LIMIT,0.067,1800,false,1993,50,17,0,5,TIME_LIMIT,0.067,1800,false,4854,124,4,0,6
Eremothecium_gossypii,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.084,1800,false,369,370,4,0,0,TIME_LIMIT,0.084,1800,false,1347,1348,1,0,0,TIME_LIMIT,0.084,1800,false,476,124,11,0,0,TIME_LIMIT,0.084,1800,false,1728,362,3,0,1,TIME_LIMIT,0.084,1800,false,607,108,12,0,1,TIME_LIMIT,0.084,1800,false,1930,291,3,0,1,TIME_LIMIT,0.084,1800,false,1051,88,14,0,1,TIME_LIMIT,0.084,1800,false,2666,222,4,0,1,TIME_LIMIT,0.084,1800,false,1926,47,20,0,5,TIME_LIMIT,0.084,1800,false,4903,131,5,0,5
