organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m,times_master_problem_cb_big_m,times_sub_problem_cb_big_m,times_mis_problem_cb_big_m,termination_cb_mis_0.1,objective_value_cb_mis_0.1,time_cb_mis_0.1,feasibility_cb_mis_0.1,cuts_cb_mis_0.1,iter_cb_mis_0.1,times_master_problem_mis_0.1,times_sub_problem_mis_0.1,times_mis_problem_mis_0.1,termination_cb_big_m_mis_0.1,objective_value_cb_big_m_mis_0.1,time_cb_big_m_mis_0.1,feasibility_cb_big_m_mis_0.1,cuts_cb_big_m_mis_0.1,iter_cb_big_m_mis_0.1,times_master_problem_big_m_mis_0.1,times_sub_problem_big_m_mis_0.1,times_mis_problem_big_m_mis_0.1,termination_cb_mis_0.2,objective_value_cb_mis_0.2,time_cb_mis_0.2,feasibility_cb_mis_0.2,cuts_cb_mis_0.2,iter_cb_mis_0.2,times_master_problem_mis_0.2,times_sub_problem_mis_0.2,times_mis_problem_mis_0.2,termination_cb_big_m_mis_0.2,objective_value_cb_big_m_mis_0.2,time_cb_big_m_mis_0.2,feasibility_cb_big_m_mis_0.2,cuts_cb_big_m_mis_0.2,iter_cb_big_m_mis_0.2,times_master_problem_big_m_mis_0.2,times_sub_problem_big_m_mis_0.2,times_mis_problem_big_m_mis_0.2
Hanseniaspora_uvarum,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,OPTIMAL,0.082,8258,true,2206,2206,2,0,0,ERROR,,,,,,,,,ERROR,,,,,,,,,ERROR,,,,,,,,,ERROR,,,,,,,,
yHMPu5000035696_Hanseniaspora_singularis,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,OPTIMAL,0.082,6776,true,1836,1836,2,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,5189,1120,7,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,6508,980,8,0,1
yHMPu5000034963_Hanseniaspora_clermontiae,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,4957,1351,7,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,4379,823,9,0,1
yHMPu5000035695_Hanseniaspora_pseudoguilliermondii,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,TIME_LIMIT,0.082,14440,false,3305,3306,3,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,5296,1222,6,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,5425,967,8,0,1
yHMPu5000035684_Kloeckera_hatyaiensis,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,TIME_LIMIT,0.082,14440,false,3031,3032,3,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,4791,1020,7,0,1,ERROR,,,,,,,,,TIME_LIMIT,0.082,14440,false,6495,969,7,0,1
Eremothecium_sinecaudum,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,TIME_LIMIT,0.087,14440,false,1655,1656,5,0,0,TIME_LIMIT,0.087,14440,false,942,255,10,0,0,TIME_LIMIT,0.087,14440,false,3131,853,10,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.087,14440,false,3517,730,12,0,0
yHMPu5000035659_Saturnispora_dispora,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,OPTIMAL,0.084,9283,true,1847,1847,3,0,0,ERROR,,,,,,,,,OPTIMAL,0.084,2185,true,1373,456,3,0,0,ERROR,,,,,,,,,OPTIMAL,0.084,1316,true,1290,259,3,0,1
Tortispora_caseinolytica,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,TIME_LIMIT,0.097,14440,false,2805,2806,4,0,0,ERROR,,,,,,,,,ERROR,,,,,,,,,ERROR,,,,,,,,,TIME_LIMIT,0.097,14440,false,4244,749,8,0,1
Starmerella_bombicola_JCM9596,14440,TIME_LIMIT,NaN,14440,false,ERROR,NaN,,false,,,,,,TIME_LIMIT,0.067,14440,false,2368,2369,4,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.067,14440,false,3108,849,9,0,1,ERROR,,,,,,,,,TIME_LIMIT,0.067,14440,false,4960,977,8,0,1
Eremothecium_gossypii,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,OPTIMAL,0.084,7135,true,1790,1790,3,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.084,14440,false,4000,1064,7,0,1,ERROR,,,,,,,,,TIME_LIMIT,0.084,14440,false,4758,870,8,0,1
Ashbya_aceri,14440,TIME_LIMIT,0.0,14440,false,ERROR,NaN,,false,,,,,,TIME_LIMIT,0.084,14440,false,2401,2402,4,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.084,14440,false,3708,1055,7,0,0,ERROR,,,,,,,,,TIME_LIMIT,0.084,14440,false,5900,1016,8,0,1
