objective_value,dual_bound,solution,time,termination,nodes
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,10.0,0.00308,OPTIMAL,0
0.0,0.0,0.0,0.00308,OPTIMAL,0
0.0,0.0,0.0,0.00308,OPTIMAL,0
0.0,0.0,0.0,0.00308,OPTIMAL,0
0.0,0.0,0.0,0.00308,OPTIMAL,0
0.0,0.0,1.0,0.00308,OPTIMAL,0
0.0,0.0,1.0,0.00308,OPTIMAL,0
0.0,0.0,1.0,0.00308,OPTIMAL,0
0.0,0.0,1.0,0.00308,OPTIMAL,0
0.0,0.0,0.0,0.00308,OPTIMAL,0
0.0,0.0,0.0,0.00308,OPTIMAL,0
0.0,0.0,-1.0,0.00308,OPTIMAL,0
0.0,0.0,-1.0,0.00308,OPTIMAL,0
0.0,0.0,-1.0,0.00308,OPTIMAL,0
0.0,0.0,-1.0,0.00308,OPTIMAL,0
0.0,0.0,1.0,0.00308,OPTIMAL,0
0.0,0.0,1.0,0.00308,OPTIMAL,0
