presolving:
(round 1, fast)       1304 del vars, 9228 del conss, 0 add conss, 8252 chg bounds, 0 chg sides, 19 chg coeffs, 0 upgd conss, 189 impls, 0 clqs
(round 2, fast)       2206 del vars, 10543 del conss, 0 add conss, 8527 chg bounds, 3 chg sides, 140 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 3, fast)       2608 del vars, 10828 del conss, 0 add conss, 8596 chg bounds, 21 chg sides, 200 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 4, fast)       2729 del vars, 10873 del conss, 0 add conss, 8626 chg bounds, 22 chg sides, 252 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 5, fast)       2738 del vars, 10875 del conss, 0 add conss, 8630 chg bounds, 53 chg sides, 256 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.2s) MILP presolver (25 rounds): 2641 aggregations, 591 fixings, 48 bound changes
(round 6, medium)     5970 del vars, 18969 del conss, 3165 add conss, 8678 chg bounds, 58 chg sides, 256 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 7, fast)       5978 del vars, 18977 del conss, 3165 add conss, 8680 chg bounds, 63 chg sides, 267 chg coeffs, 0 upgd conss, 221 impls, 0 clqs
(round 8, fast)       5981 del vars, 18978 del conss, 3165 add conss, 8680 chg bounds, 63 chg sides, 267 chg coeffs, 0 upgd conss, 221 impls, 0 clqs
(round 9, exhaustive) 5981 del vars, 18982 del conss, 3165 add conss, 8680 chg bounds, 63 chg sides, 267 chg coeffs, 0 upgd conss, 221 impls, 0 clqs
(round 10, exhaustive) 5981 del vars, 18982 del conss, 3165 add conss, 8680 chg bounds, 63 chg sides, 267 chg coeffs, 1377 upgd conss, 221 impls, 0 clqs
   (0.2s) sparsify finished: 284/15886 (1.8%) nonzeros canceled - in total 284 canceled nonzeros, 311 changed coefficients, 0 added nonzeros
(round 11, exhaustive) 5981 del vars, 18982 del conss, 3165 add conss, 8680 chg bounds, 63 chg sides, 578 chg coeffs, 1377 upgd conss, 1919 impls, 0 clqs
(round 12, fast)       5987 del vars, 18989 del conss, 3165 add conss, 8688 chg bounds, 63 chg sides, 578 chg coeffs, 1377 upgd conss, 1922 impls, 0 clqs
(round 13, fast)       5989 del vars, 18995 del conss, 3165 add conss, 8692 chg bounds, 63 chg sides, 583 chg coeffs, 1377 upgd conss, 1929 impls, 0 clqs
   (0.3s) sparsify finished: 21/15535 (0.1%) nonzeros canceled - in total 305 canceled nonzeros, 349 changed coefficients, 0 added nonzeros
   (0.4s) probing: 1000/1502 (66.6%) - 0 fixings, 0 aggregations, 3347 implications, 5 bound changes
   (0.4s) probing: 1001/1502 (66.6%) - 0 fixings, 0 aggregations, 3353 implications, 5 bound changes
   (0.4s) probing aborted: 1000/1000 successive useless probings
   (0.4s) dualsparsify: 929 nonzeros canceled
(round 14, exhaustive) 5989 del vars, 18995 del conss, 3165 add conss, 8702 chg bounds, 64 chg sides, 2147 chg coeffs, 1377 upgd conss, 5282 impls, 0 clqs
(round 15, fast)       5990 del vars, 19016 del conss, 3182 add conss, 8740 chg bounds, 64 chg sides, 2153 chg coeffs, 1377 upgd conss, 5294 impls, 0 clqs
(round 16, fast)       6009 del vars, 19016 del conss, 3182 add conss, 8761 chg bounds, 64 chg sides, 2164 chg coeffs, 1377 upgd conss, 5294 impls, 0 clqs
(round 17, exhaustive) 6009 del vars, 19016 del conss, 3182 add conss, 8770 chg bounds, 65 chg sides, 2216 chg coeffs, 1397 upgd conss, 5294 impls, 0 clqs
(round 18, medium)     6012 del vars, 19016 del conss, 3182 add conss, 8770 chg bounds, 65 chg sides, 2216 chg coeffs, 1397 upgd conss, 5336 impls, 0 clqs
(round 19, medium)     6012 del vars, 19019 del conss, 3182 add conss, 8770 chg bounds, 65 chg sides, 2216 chg coeffs, 1397 upgd conss, 5336 impls, 0 clqs
   (0.4s) sparsify finished: 4/14565 (0.0%) nonzeros canceled - in total 309 canceled nonzeros, 354 changed coefficients, 0 added nonzeros
   (0.4s) probing: 1101/1502 (73.3%) - 0 fixings, 0 aggregations, 3614 implications, 5 bound changes
   (0.4s) probing aborted: 1000/1000 successive useless probings
   (0.4s) dualsparsify: 94 nonzeros canceled
(round 20, exhaustive) 6012 del vars, 19019 del conss, 3182 add conss, 8770 chg bounds, 65 chg sides, 2350 chg coeffs, 1397 upgd conss, 5594 impls, 0 clqs
   (0.5s) probing: 1201/1502 (80.0%) - 0 fixings, 0 aggregations, 3989 implications, 5 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 15 nonzeros canceled
   (0.5s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.5s) symmetry computation finished: 54 generators found (max: 1500, log10 of symmetry group size: 20.0) (symcode time: 0.01)
(round 21, exhaustive) 6012 del vars, 19019 del conss, 3220 add conss, 8772 chg bounds, 65 chg sides, 2367 chg coeffs, 1398 upgd conss, 5961 impls, 0 clqs
(round 22, fast)       6015 del vars, 19019 del conss, 3220 add conss, 8772 chg bounds, 65 chg sides, 2367 chg coeffs, 1398 upgd conss, 5963 impls, 0 clqs
   (0.5s) probing: 1301/1502 (86.6%) - 0 fixings, 0 aggregations, 4297 implications, 5 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
presolving (23 rounds: 23 fast, 11 medium, 8 exhaustive):
 6020 deleted vars, 19022 deleted constraints, 3220 added constraints, 8772 tightened bounds, 0 added holes, 65 changed sides, 2367 changed coefficients
 6266 implications, 0 cliques
presolved problem has 3266 variables (1496 bin, 0 int, 0 impl, 1770 cont) and 3167 constraints
   1372 constraints of type <varbound>
   1757 constraints of type <linear>
     38 constraints of type <orbitope>
Presolving Time: 0.51

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.0s|     1 |     0 |  8333 |     - |    93M |   0 |3266 |3171 |3129 |   0 |  0 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  1.6s|     1 |     0 | 12154 |     - |    94M |   0 |3266 |3171 |3128 |   0 |  0 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  1.7s|     1 |     0 | 12508 |     - |    95M |   0 |3266 |3171 |3130 |   2 |  1 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  1.8s|     1 |     0 | 12508 |     - |    96M |   0 |3266 |3171 |3130 |   2 |  3 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  1.8s|     1 |     0 | 12512 |     - |    96M |   0 |3266 |3171 |3132 |   4 |  4 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  1.9s|     1 |     0 | 12587 |     - |    96M |   0 |3266 |3171 |3134 |   6 |  5 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  1.9s|     1 |     0 | 12589 |     - |    96M |   0 |3266 |3171 |3135 |   7 |  6 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.0s|     1 |     0 | 12593 |     - |    97M |   0 |3266 |3171 |3136 |   8 |  7 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.0s|     1 |     0 | 12595 |     - |    97M |   0 |3266 |3171 |3138 |  10 |  8 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.1s|     1 |     0 | 12606 |     - |    98M |   0 |3266 |3171 |3144 |  16 |  9 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.1s|     1 |     0 | 12622 |     - |    98M |   0 |3266 |3171 |3156 |  28 | 10 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.2s|     1 |     0 | 12698 |     - |    98M |   0 |3266 |3171 |3164 |  36 | 11 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.2s|     1 |     0 | 12732 |     - |    99M |   0 |3266 |3171 |3172 |  44 | 12 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.3s|     1 |     0 | 12760 |     - |    99M |   0 |3266 |3171 |3178 |  50 | 13 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
  2.4s|     1 |     0 | 12777 |     - |    99M |   0 |3266 |3171 |3184 |  56 | 14 |   4 |   0 | 9.824784e-01 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.1s|     1 |     2 | 13275 |     - |   100M |   0 |3266 |3173 |3184 |  56 | 14 |   6 |  30 | 9.824784e-01 |      --      |    Inf | unknown
L 6.3s|    40 |    20 | 26632 | 371.3 |    alns|  20 |3266 |3177 |3159 |  72 |  2 |  10 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  33.09%
 26.3s|   100 |    63 |115128 |1040.2 |   103M |  22 |3266 |3155 |3157 | 122 |  0 |  17 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  34.48%
 36.5s|   200 |   148 |196581 | 926.8 |   104M |  24 |3266 |3155 |3156 | 227 |  1 |  26 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  38.79%
 40.1s|   300 |   216 |222616 | 703.9 |   105M |  26 |3266 |3157 |3173 | 302 |  1 |  28 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  38.79%
 43.2s|   400 |   287 |249073 | 593.8 |   105M |  37 |3266 |3155 |3161 | 358 |  1 |  29 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  41.97%
 45.2s|   500 |   375 |261916 | 500.5 |   107M |  43 |3266 |3151 |3175 | 454 |  1 |  32 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  41.97%
 47.6s|   600 |   461 |278898 | 445.3 |   111M |  52 |3266 |3155 |3175 | 549 |  1 |  36 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  41.97%
 51.7s|   700 |   553 |311469 | 428.2 |   117M |  52 |3266 |3159 |3162 | 734 |  1 |  42 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  41.97%
 57.0s|   800 |   637 |352488 | 426.0 |   120M |  52 |3266 |3160 |3170 | 959 |  2 |  45 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  41.97%
 61.3s|   900 |   727 |384292 | 413.9 |   121M |  52 |3266 |3159 |3166 |1167 |  1 |  45 |  30 | 9.824784e-01 | 0.000000e+00 |    Inf |  41.97%
 64.4s|  1000 |   817 |409523 | 397.8 |   121M |  52 |3266 |3164 |3169 |1254 |  1 |  50 |  30 | 9.824715e-01 | 0.000000e+00 |    Inf |  41.97%
 66.4s|  1100 |   905 |424145 | 374.9 |   122M |  58 |3266 |3164 |3175 |1357 |  1 |  54 |  30 | 9.824715e-01 | 0.000000e+00 |    Inf |  41.97%
 67.9s|  1200 |   979 |436508 | 353.9 |   122M |  71 |3266 |3163 |3182 |1421 |  1 |  57 |  30 | 9.824715e-01 | 0.000000e+00 |    Inf |  41.97%
 75.7s|  1300 |  1059 |492326 | 369.6 |   122M |  71 |3266 |3166 |3170 |1520 |  1 |  60 |  30 | 9.824715e-01 | 0.000000e+00 |    Inf |  41.97%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 79.0s|  1400 |  1131 |516760 | 360.7 |   122M |  71 |3266 |3172 |3164 |1627 |  1 |  66 |  30 | 9.824715e-01 | 0.000000e+00 |    Inf |  41.97%
 81.4s|  1500 |  1207 |536785 | 350.0 |   123M |  71 |3266 |3179 |3167 |1698 |  1 |  76 |  30 | 9.824715e-01 | 0.000000e+00 |    Inf |  41.97%
