presolving:
(round 1, fast)       1234 del vars, 9322 del conss, 0 add conss, 8443 chg bounds, 0 chg sides, 23 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 2, fast)       2153 del vars, 10691 del conss, 0 add conss, 8768 chg bounds, 2 chg sides, 198 chg coeffs, 0 upgd conss, 198 impls, 0 clqs
(round 3, fast)       2494 del vars, 10862 del conss, 0 add conss, 8845 chg bounds, 22 chg sides, 294 chg coeffs, 0 upgd conss, 198 impls, 0 clqs
(round 4, fast)       2568 del vars, 10872 del conss, 0 add conss, 8883 chg bounds, 25 chg sides, 342 chg coeffs, 0 upgd conss, 198 impls, 0 clqs
(round 5, fast)       2569 del vars, 10874 del conss, 0 add conss, 8888 chg bounds, 62 chg sides, 349 chg coeffs, 0 upgd conss, 198 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.2s) MILP presolver (25 rounds): 2755 aggregations, 566 fixings, 56 bound changes
(round 6, medium)     5890 del vars, 19504 del conss, 3446 add conss, 8944 chg bounds, 63 chg sides, 349 chg coeffs, 0 upgd conss, 198 impls, 0 clqs
(round 7, fast)       5902 del vars, 19515 del conss, 3446 add conss, 8946 chg bounds, 69 chg sides, 370 chg coeffs, 0 upgd conss, 234 impls, 0 clqs
(round 8, fast)       5906 del vars, 19518 del conss, 3446 add conss, 8946 chg bounds, 70 chg sides, 370 chg coeffs, 0 upgd conss, 234 impls, 0 clqs
(round 9, exhaustive) 5906 del vars, 19523 del conss, 3446 add conss, 8946 chg bounds, 70 chg sides, 370 chg coeffs, 0 upgd conss, 234 impls, 0 clqs
(round 10, exhaustive) 5906 del vars, 19523 del conss, 3446 add conss, 8946 chg bounds, 70 chg sides, 370 chg coeffs, 1501 upgd conss, 234 impls, 0 clqs
   (0.2s) sparsify finished: 315/17192 (1.8%) nonzeros canceled - in total 315 canceled nonzeros, 343 changed coefficients, 0 added nonzeros
(round 11, exhaustive) 5906 del vars, 19523 del conss, 3446 add conss, 8946 chg bounds, 70 chg sides, 713 chg coeffs, 1501 upgd conss, 2064 impls, 0 clqs
(round 12, fast)       5910 del vars, 19528 del conss, 3446 add conss, 8972 chg bounds, 70 chg sides, 716 chg coeffs, 1501 upgd conss, 2072 impls, 0 clqs
   (0.3s) sparsify finished: 22/16851 (0.1%) nonzeros canceled - in total 337 canceled nonzeros, 386 changed coefficients, 0 added nonzeros
   (0.3s) probing: 433/1623 (26.7%) - 0 fixings, 0 aggregations, 2587 implications, 8 bound changes
   (0.3s) probing aborted: 50/50 successive totally useless probings
(round 13, exhaustive) 5911 del vars, 19528 del conss, 3446 add conss, 8991 chg bounds, 71 chg sides, 807 chg coeffs, 1501 upgd conss, 4659 impls, 0 clqs
(round 14, exhaustive) 5912 del vars, 19529 del conss, 3446 add conss, 8991 chg bounds, 72 chg sides, 817 chg coeffs, 1502 upgd conss, 4663 impls, 0 clqs
   (0.3s) sparsify finished: 2/16826 (0.0%) nonzeros canceled - in total 339 canceled nonzeros, 389 changed coefficients, 0 added nonzeros
   (0.3s) probing: 438/1623 (27.0%) - 0 fixings, 0 aggregations, 2587 implications, 8 bound changes
   (0.3s) probing aborted: 50/50 successive totally useless probings
   (0.4s) dualsparsify: 1034 nonzeros canceled
(round 15, exhaustive) 5912 del vars, 19529 del conss, 3446 add conss, 8991 chg bounds, 72 chg sides, 2429 chg coeffs, 1502 upgd conss, 4664 impls, 0 clqs
(round 16, fast)       5912 del vars, 19546 del conss, 3462 add conss, 9030 chg bounds, 72 chg sides, 2429 chg coeffs, 1502 upgd conss, 4666 impls, 0 clqs
(round 17, fast)       5933 del vars, 19546 del conss, 3462 add conss, 9039 chg bounds, 72 chg sides, 2431 chg coeffs, 1502 upgd conss, 4666 impls, 0 clqs
(round 18, exhaustive) 5933 del vars, 19546 del conss, 3462 add conss, 9060 chg bounds, 72 chg sides, 2479 chg coeffs, 1522 upgd conss, 4666 impls, 0 clqs
(round 19, medium)     5936 del vars, 19546 del conss, 3462 add conss, 9060 chg bounds, 72 chg sides, 2479 chg coeffs, 1522 upgd conss, 4707 impls, 0 clqs
(round 20, medium)     5936 del vars, 19549 del conss, 3462 add conss, 9060 chg bounds, 72 chg sides, 2479 chg coeffs, 1522 upgd conss, 4707 impls, 0 clqs
   (0.5s) probing: 1000/1623 (61.6%) - 0 fixings, 0 aggregations, 4900 implications, 8 bound changes
   (0.5s) probing: 1083/1623 (66.7%) - 0 fixings, 0 aggregations, 5212 implications, 8 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 97 nonzeros canceled
(round 21, exhaustive) 5936 del vars, 19549 del conss, 3462 add conss, 9060 chg bounds, 72 chg sides, 2632 chg coeffs, 1522 upgd conss, 7299 impls, 0 clqs
(round 22, exhaustive) 5936 del vars, 19549 del conss, 3462 add conss, 9080 chg bounds, 72 chg sides, 2632 chg coeffs, 1540 upgd conss, 7299 impls, 0 clqs
(round 23, medium)     5945 del vars, 19549 del conss, 3462 add conss, 9080 chg bounds, 72 chg sides, 2632 chg coeffs, 1540 upgd conss, 7343 impls, 0 clqs
(round 24, medium)     5945 del vars, 19557 del conss, 3462 add conss, 9080 chg bounds, 72 chg sides, 2632 chg coeffs, 1540 upgd conss, 7343 impls, 0 clqs
   (0.5s) probing: 1183/1623 (72.9%) - 0 fixings, 0 aggregations, 5582 implications, 8 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 13 nonzeros canceled
   (0.5s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.5s) symmetry computation finished: 67 generators found (max: 1500, log10 of symmetry group size: 24.7) (symcode time: 0.01)
(round 25, exhaustive) 5945 del vars, 19557 del conss, 3513 add conss, 9080 chg bounds, 72 chg sides, 2646 chg coeffs, 1540 upgd conss, 7710 impls, 0 clqs
presolving (26 rounds: 26 fast, 16 medium, 11 exhaustive):
 5948 deleted vars, 19558 deleted constraints, 3513 added constraints, 9080 tightened bounds, 0 added holes, 72 changed sides, 2646 changed coefficients
 7710 implications, 0 cliques
presolved problem has 3556 variables (1611 bin, 0 int, 0 impl, 1945 cont) and 3459 constraints
   1513 constraints of type <varbound>
   1898 constraints of type <linear>
     48 constraints of type <orbitope>
Presolving Time: 0.53

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.3s|     1 |     0 | 10139 |     - |    97M |   0 |3556 |3466 |3408 |   0 |  0 |   7 |   0 | 9.823963e-01 |      --      |    Inf | unknown
o 4.1s|     1 |     0 | 35295 |     - |feaspump|   0 |3556 |3466 |3408 |   0 |  0 |   7 |   0 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  4.1s|     1 |     0 | 35295 |     - |    97M |   0 |3556 |3466 |3408 |   0 |  0 |   7 |   0 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  4.2s|     1 |     0 | 35564 |     - |    98M |   0 |3556 |3466 |3410 |   2 |  1 |   7 |   0 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  4.3s|     1 |     0 | 35564 |     - |    98M |   0 |3556 |3466 |3410 |   2 |  3 |   7 |   0 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  5.6s|     1 |     0 | 39517 |     - |    99M |   0 |3556 |3464 |3410 |   2 |  5 |   7 |  38 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  5.7s|     1 |     0 | 39519 |     - |    99M |   0 |3556 |3464 |3411 |   3 |  6 |   7 |  38 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  5.8s|     1 |     0 | 40894 |     - |    99M |   0 |3556 |3464 |3412 |   4 |  7 |   7 |  38 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  6.7s|     1 |     0 | 43450 |     - |    99M |   0 |3556 |3454 |3412 |   4 |  7 |   7 |  57 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  6.9s|     1 |     0 | 44198 |     - |    99M |   0 |3556 |3454 |3418 |  10 |  8 |   7 |  57 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  6.9s|     1 |     0 | 44731 |     - |    99M |   0 |3556 |3454 |3419 |  11 |  9 |   7 |  57 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  8.9s|     1 |     0 | 45020 |     - |    99M |   0 |3556 |3450 |3419 |  11 |  9 |   7 |  87 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  9.1s|     1 |     0 | 45495 |     - |   100M |   0 |3556 |3450 |3426 |  18 | 10 |   7 |  87 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
  9.1s|     1 |     0 | 45517 |     - |   100M |   0 |3556 |3450 |3427 |  19 | 11 |   7 |  87 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
 12.7s|     1 |     0 | 45726 |     - |   100M |   0 |3556 |3449 |3427 |  19 | 11 |   7 | 132 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 12.8s|     1 |     0 | 46076 |     - |   100M |   0 |3556 |3449 |3432 |  24 | 12 |   7 | 132 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
 12.8s|     1 |     0 | 46614 |     - |   100M |   0 |3556 |3449 |3433 |  25 | 13 |   7 | 132 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
 13.9s|     1 |     2 | 46805 |     - |   100M |   0 |3556 |3449 |3433 |  25 | 13 |   7 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf | unknown
 36.3s|   100 |    77 |119703 | 795.0 |   104M |  16 |3556 |3453 |3414 | 106 |  1 |  28 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.03%
 45.8s|   200 |   161 |190284 | 750.2 |   105M |  27 |3556 |3464 |3417 | 143 |  1 |  40 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.03%
 53.4s|   300 |   249 |237529 | 657.3 |   106M |  39 |3556 |3467 |3417 | 162 |  1 |  49 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.03%
 67.4s|   400 |   325 |331277 | 727.5 |   109M |  57 |3556 |3473 |3417 | 187 |  1 |  65 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.03%
 73.2s|   500 |   389 |368218 | 655.8 |   110M |  59 |3556 |3477 |3422 | 255 |  0 |  69 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
 79.0s|   600 |   459 |403199 | 604.7 |   112M |  59 |3556 |3486 |3421 | 315 |  0 |  79 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
 87.8s|   700 |   542 |471255 | 615.5 |   112M |  59 |3556 |3494 |3422 | 386 |  1 |  89 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
 94.8s|   800 |   620 |512575 | 590.2 |   113M |  59 |3556 |3501 |3423 | 450 |  0 |  99 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
 99.0s|   900 |   696 |539177 | 554.1 |   116M |  61 |3556 |3505 |3428 | 521 |  1 | 110 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
  102s|  1000 |   762 |558438 | 518.0 |   116M |  79 |3556 |3502 |3431 | 541 |  1 | 126 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
  109s|  1100 |   846 |611342 | 519.0 |   116M |  88 |3556 |3499 |3428 | 573 |  1 | 133 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
  112s|  1200 |   936 |637218 | 497.3 |   116M |  88 |3556 |3507 |3431 | 596 |  1 | 144 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  117s|  1300 |  1026 |664683 | 480.1 |   117M |  92 |3556 |3509 |3434 | 627 |  1 | 149 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
  121s|  1400 |  1108 |696596 | 468.6 |   118M |  99 |3556 |3511 |3435 | 660 |  1 | 156 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
  125s|  1500 |  1198 |722655 | 454.7 |   118M |  99 |3556 |3512 |3432 | 682 |  1 | 165 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
  128s|  1600 |  1280 |742132 | 438.5 |   120M | 119 |3556 |3512 |3421 | 704 |  2 | 172 | 174 | 9.823963e-01 | 0.000000e+00 |    Inf |   1.07%
