presolving:
(round 1, fast)       1306 del vars, 9302 del conss, 0 add conss, 8339 chg bounds, 0 chg sides, 15 chg coeffs, 0 upgd conss, 191 impls, 0 clqs
(round 2, fast)       2235 del vars, 10668 del conss, 0 add conss, 8640 chg bounds, 2 chg sides, 125 chg coeffs, 0 upgd conss, 195 impls, 0 clqs
(round 3, fast)       2620 del vars, 10918 del conss, 0 add conss, 8704 chg bounds, 19 chg sides, 191 chg coeffs, 0 upgd conss, 196 impls, 0 clqs
(round 4, fast)       2740 del vars, 10979 del conss, 0 add conss, 8731 chg bounds, 20 chg sides, 240 chg coeffs, 0 upgd conss, 196 impls, 0 clqs
(round 5, fast)       2754 del vars, 10985 del conss, 0 add conss, 8734 chg bounds, 44 chg sides, 242 chg coeffs, 0 upgd conss, 196 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.2s) MILP presolver (23 rounds): 2685 aggregations, 602 fixings, 43 bound changes
(round 6, medium)     6041 del vars, 19175 del conss, 3180 add conss, 8777 chg bounds, 50 chg sides, 242 chg coeffs, 0 upgd conss, 196 impls, 0 clqs
(round 7, fast)       6056 del vars, 19189 del conss, 3180 add conss, 8777 chg bounds, 60 chg sides, 252 chg coeffs, 0 upgd conss, 234 impls, 0 clqs
(round 8, fast)       6063 del vars, 19194 del conss, 3180 add conss, 8777 chg bounds, 61 chg sides, 252 chg coeffs, 0 upgd conss, 234 impls, 0 clqs
(round 9, exhaustive) 6063 del vars, 19199 del conss, 3180 add conss, 8777 chg bounds, 61 chg sides, 252 chg coeffs, 0 upgd conss, 234 impls, 0 clqs
(round 10, exhaustive) 6063 del vars, 19199 del conss, 3180 add conss, 8777 chg bounds, 61 chg sides, 252 chg coeffs, 1376 upgd conss, 234 impls, 0 clqs
   (0.2s) sparsify finished: 297/15888 (1.9%) nonzeros canceled - in total 297 canceled nonzeros, 323 changed coefficients, 0 added nonzeros
(round 11, exhaustive) 6063 del vars, 19199 del conss, 3180 add conss, 8777 chg bounds, 61 chg sides, 575 chg coeffs, 1376 upgd conss, 1932 impls, 0 clqs
(round 12, fast)       6073 del vars, 19209 del conss, 3180 add conss, 8794 chg bounds, 61 chg sides, 576 chg coeffs, 1376 upgd conss, 1935 impls, 0 clqs
(round 13, fast)       6075 del vars, 19224 del conss, 3180 add conss, 8798 chg bounds, 62 chg sides, 583 chg coeffs, 1376 upgd conss, 1942 impls, 0 clqs
   (0.2s) sparsify finished: 23/15479 (0.1%) nonzeros canceled - in total 320 canceled nonzeros, 364 changed coefficients, 0 added nonzeros
   (0.2s) probing: 56/1514 (3.7%) - 0 fixings, 0 aggregations, 20 implications, 8 bound changes
   (0.2s) probing aborted: 50/50 successive totally useless probings
   (0.2s) dualsparsify: 912 nonzeros canceled
(round 14, exhaustive) 6075 del vars, 19224 del conss, 3180 add conss, 8811 chg bounds, 63 chg sides, 2065 chg coeffs, 1377 upgd conss, 1962 impls, 0 clqs
(round 15, fast)       6076 del vars, 19246 del conss, 3198 add conss, 8862 chg bounds, 64 chg sides, 2085 chg coeffs, 1377 upgd conss, 1967 impls, 0 clqs
(round 16, fast)       6097 del vars, 19246 del conss, 3198 add conss, 8943 chg bounds, 65 chg sides, 2094 chg coeffs, 1377 upgd conss, 1967 impls, 0 clqs
(round 17, fast)       6097 del vars, 19246 del conss, 3198 add conss, 8974 chg bounds, 66 chg sides, 2128 chg coeffs, 1377 upgd conss, 1967 impls, 0 clqs
(round 18, exhaustive) 6097 del vars, 19246 del conss, 3198 add conss, 8978 chg bounds, 68 chg sides, 2139 chg coeffs, 1399 upgd conss, 1967 impls, 0 clqs
   (0.3s) sparsify finished: 4/14530 (0.0%) nonzeros canceled - in total 324 canceled nonzeros, 369 changed coefficients, 0 added nonzeros
   (0.3s) probing: 464/1514 (30.6%) - 0 fixings, 0 aggregations, 1364 implications, 14 bound changes
   (0.3s) probing aborted: 50/50 successive totally useless probings
(round 19, exhaustive) 6099 del vars, 19246 del conss, 3198 add conss, 8988 chg bounds, 70 chg sides, 2152 chg coeffs, 1399 upgd conss, 3319 impls, 0 clqs
(round 20, medium)     6099 del vars, 19248 del conss, 3198 add conss, 8988 chg bounds, 71 chg sides, 2164 chg coeffs, 1399 upgd conss, 3319 impls, 0 clqs
   (0.4s) sparsify finished: 4/14522 (0.0%) nonzeros canceled - in total 328 canceled nonzeros, 374 changed coefficients, 0 added nonzeros
   (0.4s) probing: 1000/1514 (66.1%) - 0 fixings, 0 aggregations, 2709 implications, 14 bound changes
   (0.4s) probing: 1051/1514 (69.4%) - 0 fixings, 0 aggregations, 2807 implications, 14 bound changes
   (0.4s) probing aborted: 1000/1000 successive useless probings
   (0.4s) dualsparsify: 92 nonzeros canceled
(round 21, exhaustive) 6099 del vars, 19248 del conss, 3198 add conss, 8996 chg bounds, 71 chg sides, 2297 chg coeffs, 1399 upgd conss, 4732 impls, 0 clqs
   (0.5s) probing: 1151/1514 (76.0%) - 0 fixings, 0 aggregations, 3034 implications, 14 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 10 nonzeros canceled
   (0.5s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.5s) symmetry computation finished: 61 generators found (max: 1500, log10 of symmetry group size: 23.0) (symcode time: 0.01)
(round 22, exhaustive) 6099 del vars, 19248 del conss, 3243 add conss, 9002 chg bounds, 71 chg sides, 2317 chg coeffs, 1400 upgd conss, 4953 impls, 0 clqs
   (0.5s) probing: 1251/1514 (82.6%) - 0 fixings, 0 aggregations, 3371 implications, 14 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
presolving (23 rounds: 23 fast, 11 medium, 9 exhaustive):
 6100 deleted vars, 19248 deleted constraints, 3243 added constraints, 9002 tightened bounds, 0 added holes, 71 changed sides, 2317 changed coefficients
 5283 implications, 0 cliques
presolved problem has 3284 variables (1512 bin, 0 int, 0 impl, 1772 cont) and 3170 constraints
   1368 constraints of type <varbound>
   1757 constraints of type <linear>
     45 constraints of type <orbitope>
Presolving Time: 0.50

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.0s|     1 |     0 |  7670 |     - |    93M |   0 |3284 |3174 |3125 |   0 |  0 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  7.4s|     1 |     0 | 45722 |     - |    94M |   0 |3284 |3174 |3125 |   0 |  0 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  7.5s|     1 |     0 | 46037 |     - |    95M |   0 |3284 |3174 |3137 |  12 |  1 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  7.6s|     1 |     0 | 46154 |     - |    96M |   0 |3284 |3174 |3139 |  14 |  2 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  7.8s|     1 |     0 | 47097 |     - |    96M |   0 |3284 |3174 |3142 |  17 |  3 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  7.9s|     1 |     0 | 47931 |     - |    98M |   0 |3284 |3174 |3153 |  28 |  4 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  8.1s|     1 |     0 | 47966 |     - |    99M |   0 |3284 |3174 |3157 |  32 |  5 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  8.2s|     1 |     0 | 48396 |     - |   100M |   0 |3284 |3174 |3161 |  36 |  6 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  8.3s|     1 |     0 | 48919 |     - |   100M |   0 |3284 |3174 |3164 |  39 |  7 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
  8.4s|     1 |     0 | 48919 |     - |   101M |   0 |3284 |3174 |3164 |  39 |  9 |   4 |   0 | 9.756145e-01 |      --      |    Inf | unknown
L 8.7s|     1 |     0 | 49431 |     - |    rens|   0 |3284 |3176 |3164 |  39 | 11 |   6 |   0 | 9.756145e-01 | 0.000000e+00 |    Inf | unknown
  8.7s|     1 |     0 | 49431 |     - |   102M |   0 |3284 |3176 |3164 |  39 | 11 |   6 |   0 | 9.756145e-01 | 0.000000e+00 |    Inf | unknown
  9.5s|     1 |     0 | 49532 |     - |   103M |   0 |3284 |3176 |3164 |  39 | 13 |   6 |  20 | 9.756145e-01 | 0.000000e+00 |    Inf | unknown
 10.3s|     1 |     2 | 49598 |     - |   103M |   0 |3284 |3176 |3164 |  39 | 15 |   6 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf | unknown
 49.5s|   100 |    47 |219786 |1746.9 |   110M |  22 |3284 |3141 |3137 |  57 |  1 |  27 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  58.54%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 55.8s|   200 |   114 |264248 |1092.5 |   113M |  26 |3284 |3139 |3148 | 130 |  1 |  45 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.28%
 69.0s|   300 |   208 |354424 |1028.7 |   113M |  31 |3284 |3148 |3147 | 153 |  1 |  59 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.31%
 76.1s|   400 |   298 |401248 | 888.2 |   115M |  44 |3284 |3158 |3149 | 241 |  0 |  70 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
 82.0s|   500 |   396 |441102 | 790.1 |   117M |  46 |3284 |3162 |3147 | 381 |  1 |  75 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
 86.3s|   600 |   476 |469089 | 704.9 |   118M |  46 |3284 |3162 |3147 | 456 |  0 |  75 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
 91.8s|   700 |   560 |505994 | 656.9 |   119M |  62 |3284 |3175 |3153 | 535 |  1 |  89 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
 96.4s|   800 |   650 |541405 | 619.0 |   119M |  62 |3284 |3178 |3150 | 624 |  1 |  92 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
 99.5s|   900 |   736 |564622 | 575.9 |   121M |  62 |3284 |3182 |3149 | 673 |  1 |  98 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  102s|  1000 |   822 |585849 | 539.5 |   121M |  68 |3284 |3192 |3150 | 684 |  1 | 108 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  105s|  1100 |   896 |603852 | 506.8 |   121M |  88 |3284 |3197 |3151 | 703 |  1 | 113 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  110s|  1200 |   986 |644848 | 498.8 |   121M |  88 |3284 |3207 |3150 | 783 |  1 | 124 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  111s|  1300 |  1068 |657826 | 470.3 |   121M | 119 |3284 |3211 |3159 | 795 |  1 | 130 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  114s|  1400 |  1152 |678617 | 451.6 |   121M | 137 |3284 |3216 |3160 | 802 |  1 | 141 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  118s|  1500 |  1228 |710255 | 442.6 |   122M | 137 |3284 |3228 |3158 | 822 |  1 | 159 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  122s|  1600 |  1318 |742351 | 435.0 |   123M | 137 |3284 |3233 |3157 | 844 |  1 | 168 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  127s|  1700 |  1402 |786189 | 435.2 |   125M | 156 |3284 |3236 |3157 | 856 |  1 | 175 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  130s|  1800 |  1492 |804419 | 421.1 |   125M | 156 |3284 |3236 |3158 | 866 |  1 | 181 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
  132s|  1900 |  1562 |817798 | 406.0 |   125M | 156 |3284 |3252 |3160 | 880 |  1 | 199 |  39 | 9.756145e-01 | 0.000000e+00 |    Inf |  62.35%
