presolving:
(round 1, fast)       1299 del vars, 9279 del conss, 0 add conss, 8356 chg bounds, 0 chg sides, 21 chg coeffs, 0 upgd conss, 187 impls, 0 clqs
(round 2, fast)       2225 del vars, 10645 del conss, 0 add conss, 8650 chg bounds, 2 chg sides, 140 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 3, fast)       2625 del vars, 10904 del conss, 0 add conss, 8718 chg bounds, 20 chg sides, 211 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 4, fast)       2732 del vars, 10942 del conss, 0 add conss, 8741 chg bounds, 20 chg sides, 263 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 5, fast)       2740 del vars, 10942 del conss, 0 add conss, 8749 chg bounds, 51 chg sides, 275 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.3s) MILP presolver (24 rounds): 2668 aggregations, 583 fixings, 63 bound changes
(round 6, medium)     5991 del vars, 19160 del conss, 3216 add conss, 8812 chg bounds, 55 chg sides, 275 chg coeffs, 0 upgd conss, 192 impls, 0 clqs
(round 7, fast)       6007 del vars, 19176 del conss, 3216 add conss, 8817 chg bounds, 67 chg sides, 306 chg coeffs, 0 upgd conss, 229 impls, 0 clqs
(round 8, fast)       6017 del vars, 19181 del conss, 3216 add conss, 8817 chg bounds, 68 chg sides, 307 chg coeffs, 0 upgd conss, 229 impls, 0 clqs
(round 9, exhaustive) 6017 del vars, 19187 del conss, 3216 add conss, 8817 chg bounds, 68 chg sides, 307 chg coeffs, 0 upgd conss, 229 impls, 0 clqs
(round 10, exhaustive) 6017 del vars, 19187 del conss, 3216 add conss, 8817 chg bounds, 68 chg sides, 307 chg coeffs, 1381 upgd conss, 229 impls, 0 clqs
   (0.3s) sparsify finished: 292/16044 (1.8%) nonzeros canceled - in total 292 canceled nonzeros, 318 changed coefficients, 0 added nonzeros
(round 11, exhaustive) 6017 del vars, 19187 del conss, 3216 add conss, 8817 chg bounds, 68 chg sides, 625 chg coeffs, 1381 upgd conss, 1930 impls, 0 clqs
(round 12, fast)       6023 del vars, 19195 del conss, 3216 add conss, 8825 chg bounds, 68 chg sides, 625 chg coeffs, 1381 upgd conss, 1933 impls, 0 clqs
(round 13, fast)       6025 del vars, 19200 del conss, 3216 add conss, 8829 chg bounds, 68 chg sides, 627 chg coeffs, 1381 upgd conss, 1940 impls, 0 clqs
   (0.4s) sparsify finished: 18/15685 (0.1%) nonzeros canceled - in total 310 canceled nonzeros, 355 changed coefficients, 0 added nonzeros
   (0.4s) probing: 55/1529 (3.6%) - 0 fixings, 0 aggregations, 1 implications, 0 bound changes
   (0.4s) probing aborted: 50/50 successive totally useless probings
   (0.4s) dualsparsify: 927 nonzeros canceled
(round 14, exhaustive) 6025 del vars, 19200 del conss, 3216 add conss, 8829 chg bounds, 68 chg sides, 2137 chg coeffs, 1381 upgd conss, 1941 impls, 0 clqs
(round 15, fast)       6025 del vars, 19219 del conss, 3232 add conss, 8885 chg bounds, 68 chg sides, 2137 chg coeffs, 1381 upgd conss, 1943 impls, 0 clqs
(round 16, fast)       6048 del vars, 19219 del conss, 3232 add conss, 8992 chg bounds, 69 chg sides, 2146 chg coeffs, 1381 upgd conss, 1943 impls, 0 clqs
(round 17, exhaustive) 6048 del vars, 19219 del conss, 3232 add conss, 9022 chg bounds, 69 chg sides, 2177 chg coeffs, 1381 upgd conss, 1943 impls, 0 clqs
(round 18, exhaustive) 6048 del vars, 19219 del conss, 3232 add conss, 9022 chg bounds, 69 chg sides, 2177 chg coeffs, 1401 upgd conss, 1943 impls, 0 clqs
   (0.4s) sparsify finished: 5/14737 (0.0%) nonzeros canceled - in total 315 canceled nonzeros, 363 changed coefficients, 0 added nonzeros
   (0.5s) probing: 1000/1529 (65.4%) - 0 fixings, 0 aggregations, 2284 implications, 0 bound changes
   (0.5s) probing: 1008/1529 (65.9%) - 0 fixings, 0 aggregations, 2307 implications, 0 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 84 nonzeros canceled
(round 19, exhaustive) 6050 del vars, 19219 del conss, 3232 add conss, 9022 chg bounds, 69 chg sides, 2304 chg coeffs, 1401 upgd conss, 4291 impls, 0 clqs
(round 20, exhaustive) 6050 del vars, 19221 del conss, 3232 add conss, 9028 chg bounds, 69 chg sides, 2304 chg coeffs, 1405 upgd conss, 4291 impls, 0 clqs
   (0.6s) probing: 1108/1529 (72.5%) - 0 fixings, 0 aggregations, 2518 implications, 0 bound changes
   (0.6s) probing aborted: 1000/1000 successive useless probings
   (0.6s) dualsparsify: 17 nonzeros canceled
   (0.6s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.6s) symmetry computation finished: 50 generators found (max: 1500, log10 of symmetry group size: 18.4) (symcode time: 0.01)
(round 21, exhaustive) 6052 del vars, 19221 del conss, 3273 add conss, 9028 chg bounds, 69 chg sides, 2329 chg coeffs, 1405 upgd conss, 4510 impls, 0 clqs
   (0.6s) probing: 1208/1529 (79.0%) - 0 fixings, 0 aggregations, 2749 implications, 0 bound changes
   (0.6s) probing aborted: 1000/1000 successive useless probings
presolving (22 rounds: 22 fast, 11 medium, 10 exhaustive):
 6059 deleted vars, 19226 deleted constraints, 3273 added constraints, 9030 tightened bounds, 0 added holes, 69 changed sides, 2329 changed coefficients
 4741 implications, 0 cliques
presolved problem has 3314 variables (1522 bin, 0 int, 0 impl, 1792 cont) and 3207 constraints
   1381 constraints of type <varbound>
   1785 constraints of type <linear>
     41 constraints of type <orbitope>
Presolving Time: 0.59

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.3s|     1 |     0 |  9706 |     - |    91M |   0 |3314 |3211 |3166 |   0 |  0 |   4 |   0 | 9.826920e-01 |      --      |    Inf | unknown
o 4.0s|     1 |     0 | 36172 |     - |feaspump|   0 |3314 |3211 |3166 |   0 |  0 |   4 |   0 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.0s|     1 |     0 | 36172 |     - |    92M |   0 |3314 |3211 |3166 |   0 |  0 |   4 |   0 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.1s|     1 |     0 | 36553 |     - |    94M |   0 |3314 |3211 |3181 |  15 |  1 |   4 |   0 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.2s|     1 |     0 | 36787 |     - |    94M |   0 |3314 |3211 |3185 |  19 |  2 |   4 |   0 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.3s|     1 |     0 | 36976 |     - |    95M |   0 |3314 |3211 |3186 |  20 |  3 |   4 |   0 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.4s|     1 |     0 | 36976 |     - |    95M |   0 |3314 |3211 |3186 |  20 |  5 |   4 |   0 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.6s|     1 |     0 | 37559 |     - |    96M |   0 |3314 |3213 |3186 |  20 |  7 |   6 |   1 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  4.9s|     1 |     0 | 37744 |     - |    96M |   0 |3314 |3204 |3186 |  20 |  9 |   6 |  12 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  5.0s|     1 |     0 | 37749 |     - |    96M |   0 |3314 |3204 |3187 |  21 | 10 |   6 |  12 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  5.4s|     1 |     0 | 37840 |     - |    96M |   0 |3314 |3203 |3187 |  21 | 11 |   6 |  32 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  6.0s|     1 |     0 | 39391 |     - |    97M |   0 |3314 |3200 |3187 |  21 | 13 |   6 |  51 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
  7.0s|     1 |     2 | 39572 |     - |    97M |   0 |3314 |3200 |3187 |  21 | 15 |   6 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
 38.2s|   100 |    83 |174046 |1391.2 |    99M |  24 |3314 |3205 |3176 |  50 |  1 |  22 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf | unknown
 54.3s|   200 |   165 |282203 |1235.6 |   106M |  24 |3314 |3203 |3182 | 235 |  1 |  26 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 72.6s|   300 |   257 |409153 |1246.9 |   109M |  31 |3314 |3197 |3184 | 358 |  1 |  31 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
 85.3s|   400 |   325 |486111 |1127.3 |   109M |  34 |3314 |3195 |3181 | 398 |  1 |  35 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
 96.5s|   500 |   412 |565484 |1060.5 |   109M |  34 |3314 |3203 |3184 | 577 |  1 |  43 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  104s|   600 |   496 |619053 | 972.8 |   110M |  35 |3314 |3213 |3182 | 640 |  1 |  53 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  113s|   700 |   582 |673987 | 912.3 |   110M |  38 |3314 |3219 |3184 | 689 |  2 |  59 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  121s|   800 |   680 |736299 | 876.1 |   112M |  42 |3314 |3230 |3183 | 772 |  1 |  70 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  125s|   900 |   762 |764908 | 810.4 |   112M |  42 |3314 |3234 |3183 | 784 |  1 |  75 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  132s|  1000 |   856 |807490 | 771.9 |   114M |  42 |3314 |3240 |3186 | 927 |  2 |  83 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  139s|  1100 |   940 |853565 | 743.6 |   114M |  42 |3314 |3240 |3195 |1021 |  2 |  87 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  148s|  1200 |  1034 |916447 | 734.1 |   115M |  43 |3314 |3241 |3187 |1173 |  1 |  92 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  159s|  1300 |  1120 |983741 | 729.3 |   118M |  49 |3314 |3248 |3192 |1358 |  1 | 106 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  165s|  1400 |  1212 |  1025k| 707.1 |   118M |  61 |3314 |3257 |3196 |1440 |  1 | 115 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  197s|  1500 |  1300 |  1169k| 756.1 |   120M |  78 |3314 |3258 |3202 |1493 |  1 | 120 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  201s|  1600 |  1392 |  1189k| 721.1 |   120M |  88 |3314 |3260 |3202 |1522 |  1 | 125 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
  204s|  1700 |  1476 |  1207k| 689.4 |   120M | 102 |3314 |3259 |3206 |1538 |  2 | 129 |  70 | 9.826920e-01 | 0.000000e+00 |    Inf |   1.22%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
