presolving:
(round 1, fast)       4508 del vars, 9580 del conss, 0 add conss, 7483 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 2, fast)       5805 del vars, 10454 del conss, 0 add conss, 7859 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 3, fast)       5980 del vars, 10588 del conss, 0 add conss, 7932 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 4, fast)       6026 del vars, 10617 del conss, 0 add conss, 7948 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 5, fast)       6033 del vars, 10635 del conss, 0 add conss, 7974 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 6, fast)       6048 del vars, 10643 del conss, 0 add conss, 7974 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 7, fast)       6049 del vars, 10644 del conss, 0 add conss, 9007 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 8, medium)     6056 del vars, 11302 del conss, 0 add conss, 9019 chg bounds, 1 chg sides, 651 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
(round 9, exhaustive) 6060 del vars, 11314 del conss, 0 add conss, 9019 chg bounds, 1 chg sides, 651 chg coeffs, 0 upgd conss, 1679 impls, 0 clqs
   (1.6s) probing: 1000/1677 (59.6%) - 3 fixings, 0 aggregations, 7686 implications, 6305 bound changes
   (1.6s) probing: 1002/1677 (59.7%) - 3 fixings, 0 aggregations, 7715 implications, 6319 bound changes
   (1.6s) probing aborted: 1000/1000 successive useless probings
(round 10, exhaustive) 6063 del vars, 11314 del conss, 0 add conss, 15344 chg bounds, 2 chg sides, 651 chg coeffs, 0 upgd conss, 9394 impls, 0 clqs
(round 11, fast)       6325 del vars, 11860 del conss, 0 add conss, 15350 chg bounds, 2 chg sides, 651 chg coeffs, 0 upgd conss, 9396 impls, 0 clqs
(round 12, fast)       6666 del vars, 11860 del conss, 0 add conss, 17383 chg bounds, 2 chg sides, 651 chg coeffs, 0 upgd conss, 9396 impls, 0 clqs
(round 13, fast)       6666 del vars, 11860 del conss, 0 add conss, 17857 chg bounds, 2 chg sides, 651 chg coeffs, 0 upgd conss, 9396 impls, 0 clqs
(round 14, fast)       6666 del vars, 11860 del conss, 0 add conss, 18331 chg bounds, 2 chg sides, 651 chg coeffs, 0 upgd conss, 9396 impls, 0 clqs
(round 15, fast)       6903 del vars, 12097 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 651 chg coeffs, 0 upgd conss, 9633 impls, 0 clqs
(round 16, medium)     7140 del vars, 12378 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 932 chg coeffs, 0 upgd conss, 9633 impls, 0 clqs
(round 17, medium)     7304 del vars, 12378 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 932 chg coeffs, 0 upgd conss, 9797 impls, 0 clqs
(round 18, fast)       7304 del vars, 12542 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 932 chg coeffs, 0 upgd conss, 9797 impls, 0 clqs
(round 19, exhaustive) 7304 del vars, 12542 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 932 chg coeffs, 73 upgd conss, 9797 impls, 0 clqs
(round 20, medium)     7377 del vars, 12542 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 932 chg coeffs, 73 upgd conss, 9870 impls, 0 clqs
(round 21, fast)       7377 del vars, 12615 del conss, 0 add conss, 18331 chg bounds, 476 chg sides, 932 chg coeffs, 73 upgd conss, 9870 impls, 0 clqs
   (2.2s) probing: 1102/1677 (65.7%) - 3 fixings, 0 aggregations, 8852 implications, 7003 bound changes
   (2.2s) probing aborted: 1000/1000 successive useless probings
(round 22, exhaustive) 7377 del vars, 12615 del conss, 0 add conss, 19015 chg bounds, 476 chg sides, 932 chg coeffs, 73 upgd conss, 11007 impls, 0 clqs
(round 23, fast)       7396 del vars, 12712 del conss, 0 add conss, 19015 chg bounds, 476 chg sides, 932 chg coeffs, 73 upgd conss, 11007 impls, 0 clqs
(round 24, fast)       7474 del vars, 12712 del conss, 0 add conss, 19223 chg bounds, 476 chg sides, 932 chg coeffs, 73 upgd conss, 11007 impls, 0 clqs
(round 25, medium)     7489 del vars, 12790 del conss, 0 add conss, 19253 chg bounds, 476 chg sides, 1010 chg coeffs, 73 upgd conss, 11007 impls, 0 clqs
   (3.0s) probing cycle finished: starting next cycle
   (3.6s) probing: 461/1676 (27.5%) - 3 fixings, 1 aggregations, 16413 implications, 10977 bound changes
   (3.6s) probing aborted: 1000/1000 successive useless probings
(round 26, exhaustive) 7491 del vars, 12791 del conss, 0 add conss, 23255 chg bounds, 478 chg sides, 1010 chg coeffs, 74 upgd conss, 18569 impls, 0 clqs
(round 27, fast)       7549 del vars, 13323 del conss, 0 add conss, 23255 chg bounds, 506 chg sides, 1010 chg coeffs, 74 upgd conss, 18584 impls, 0 clqs
(round 28, fast)       8024 del vars, 13325 del conss, 0 add conss, 23255 chg bounds, 506 chg sides, 1010 chg coeffs, 74 upgd conss, 18584 impls, 0 clqs
(round 29, fast)       8026 del vars, 13327 del conss, 0 add conss, 24459 chg bounds, 506 chg sides, 1010 chg coeffs, 74 upgd conss, 18584 impls, 0 clqs
(round 30, fast)       8026 del vars, 13327 del conss, 0 add conss, 24537 chg bounds, 506 chg sides, 1010 chg coeffs, 74 upgd conss, 18584 impls, 0 clqs
(round 31, medium)     8082 del vars, 13803 del conss, 0 add conss, 24537 chg bounds, 510 chg sides, 1484 chg coeffs, 74 upgd conss, 18586 impls, 0 clqs
(round 32, fast)       8082 del vars, 13818 del conss, 0 add conss, 24537 chg bounds, 510 chg sides, 1484 chg coeffs, 74 upgd conss, 18588 impls, 0 clqs
(round 33, fast)       8082 del vars, 13818 del conss, 0 add conss, 24613 chg bounds, 510 chg sides, 1484 chg coeffs, 74 upgd conss, 18588 impls, 0 clqs
(round 34, fast)       8082 del vars, 13818 del conss, 0 add conss, 24613 chg bounds, 586 chg sides, 1484 chg coeffs, 74 upgd conss, 18606 impls, 0 clqs
(round 35, medium)     8142 del vars, 13818 del conss, 0 add conss, 24613 chg bounds, 586 chg sides, 1484 chg coeffs, 74 upgd conss, 18606 impls, 0 clqs
(round 36, fast)       8142 del vars, 13878 del conss, 0 add conss, 24613 chg bounds, 586 chg sides, 1484 chg coeffs, 74 upgd conss, 18606 impls, 0 clqs
(round 37, exhaustive) 8142 del vars, 13878 del conss, 0 add conss, 24613 chg bounds, 586 chg sides, 1484 chg coeffs, 106 upgd conss, 18606 impls, 0 clqs
(round 38, medium)     8174 del vars, 13878 del conss, 0 add conss, 24613 chg bounds, 586 chg sides, 1484 chg coeffs, 106 upgd conss, 18638 impls, 0 clqs
(round 39, fast)       8174 del vars, 13910 del conss, 0 add conss, 24613 chg bounds, 586 chg sides, 1484 chg coeffs, 106 upgd conss, 18638 impls, 0 clqs
   (4.0s) probing: 561/1676 (33.5%) - 3 fixings, 1 aggregations, 16645 implications, 10978 bound changes
   (4.0s) probing aborted: 1000/1000 successive useless probings
   (4.0s) symmetry computation skipped: there exist constraints that cannot be handled by symmetry methods.
presolving (40 rounds: 40 fast, 15 medium, 7 exhaustive):
 8391 deleted vars, 14344 deleted constraints, 0 added constraints, 24614 tightened bounds, 0 added holes, 586 changed sides, 1484 changed coefficients
 18838 implications, 0 cliques
presolved problem has 8562 variables (1459 bin, 0 int, 0 impl, 7103 cont) and 9610 constraints
   3116 constraints of type <SOS1>
   5579 constraints of type <linear>
    915 constraints of type <indicator>
Presolving Time: 4.74

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  5.4s|     1 |     0 |  7401 |     - |   235M |   0 |8562 |9612 |6494 |   0 |  0 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.4s|     1 |     0 |  7401 |     - |   235M |   0 |8562 |9612 |6494 |   0 |  0 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.4s|     1 |     0 |  7743 |     - |   235M |   0 |8562 |9612 |6587 |  93 |  1 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.5s|     1 |     0 |  8248 |     - |   237M |   0 |8562 |9612 |6690 | 196 |  2 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.6s|     1 |     0 |  8388 |     - |   238M |   0 |8562 |9612 |6772 | 278 |  3 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.7s|     1 |     0 |  8555 |     - |   239M |   0 |8562 |9612 |6879 | 385 |  4 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.8s|     1 |     0 |  8831 |     - |   239M |   0 |8562 |9612 |6967 | 473 |  5 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  5.9s|     1 |     0 |  9062 |     - |   240M |   0 |8562 |9612 |7058 | 564 |  6 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.0s|     1 |     0 |  9188 |     - |   241M |   0 |8562 |9612 |7143 | 649 |  7 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.0s|     1 |     0 |  9337 |     - |   241M |   0 |8562 |9612 |7238 | 744 |  8 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.2s|     1 |     0 |  9652 |     - |   242M |   0 |8562 |9612 |7332 | 838 |  9 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.3s|     1 |     0 |  9928 |     - |   243M |   0 |8562 |9612 |7460 | 966 | 10 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.4s|     1 |     0 | 10094 |     - |   244M |   0 |8562 |9612 |7558 |1064 | 11 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.5s|     1 |     0 | 10094 |     - |   244M |   0 |8562 |9612 |7558 |1064 | 11 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.5s|     1 |     0 | 10243 |     - |   244M |   0 |8562 |9612 |7653 |1159 | 12 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.7s|     1 |     0 | 10783 |     - |   245M |   0 |8562 |9612 |7786 |1292 | 13 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.8s|     1 |     0 | 10948 |     - |   246M |   0 |8562 |9612 |7867 |1373 | 14 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.9s|     1 |     0 | 10960 |     - |   247M |   0 |8562 |9612 |7814 |1384 | 15 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  6.9s|     1 |     0 | 10967 |     - |   247M |   0 |8562 |9612 |7819 |1389 | 16 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  7.0s|     1 |     0 | 10969 |     - |   248M |   0 |8562 |9612 |7820 |1390 | 17 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  7.0s|     1 |     0 | 10987 |     - |   249M |   0 |8562 |9612 |7837 |1407 | 18 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  7.2s|     1 |     0 | 11277 |     - |   250M |   0 |8562 |9612 |7838 |1408 | 19 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  7.3s|     1 |     0 | 11721 |     - |   251M |   0 |8562 |9612 |7856 |1426 | 20 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  7.4s|     1 |     0 | 11952 |     - |   251M |   0 |8562 |9612 |7851 |1444 | 21 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
  7.5s|     1 |     0 | 12061 |     - |   251M |   0 |8562 |9612 |7857 |1450 | 22 |   2 |   0 | 2.835584e-01 |      --      |    Inf | unknown
L10.8s|     1 |     0 | 21104 |     - |    rens|   0 |8562 |9613 |7857 |1450 | 22 |   3 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf | unknown
 10.9s|     1 |     0 | 21104 |     - |   254M |   0 |8562 |9613 |7857 |1450 | 22 |   3 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf | unknown
 11.1s|     1 |     0 | 21210 |     - |   254M |   0 |8562 |9613 |7876 |1469 | 23 |   3 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf | unknown
 11.1s|     1 |     0 | 21216 |     - |   254M |   0 |8562 |9613 |7880 |1473 | 24 |   3 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf | unknown
 11.1s|     1 |     2 | 21216 |     - |   254M |   0 |8562 |9613 |7880 |1473 | 24 |   3 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 15.5s|   100 |    85 | 31239 | 199.7 |   259M |  83 |8562 |9611 |7534 |1618 |  1 |   5 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 17.8s|   200 |   167 | 34325 | 114.8 |   261M | 164 |8562 |9615 |7576 |1667 |  1 |   9 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 22.4s|   300 |   255 | 42069 | 102.3 |   263M | 177 |8562 |9614 |7556 |1722 |  1 |  11 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 42.7s|   400 |   327 | 53383 | 105.0 |   265M | 177 |8562 |9616 |7575 |1809 |  1 |  22 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 49.3s|   500 |   421 | 61121 |  99.5 |   267M | 177 |8562 |9614 |7575 |1895 |  1 |  23 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 52.2s|   600 |   511 | 66395 |  91.7 |   269M | 177 |8562 |9618 |7592 |1988 |  1 |  27 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 55.1s|   700 |   591 | 72237 |  86.9 |   272M | 177 |8562 |9623 |7595 |2088 |  1 |  34 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 57.8s|   800 |   675 | 77000 |  82.0 |   274M | 177 |8562 |9623 |7587 |2175 |  1 |  40 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 60.5s|   900 |   757 | 82586 |  79.1 |   276M | 177 |8562 |9623 |7584 |2263 |  1 |  43 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 62.5s|  1000 |   835 | 86842 |  75.4 |   277M | 218 |8562 |9624 |7631 |2319 |  1 |  44 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 64.0s|  1100 |   875 | 89595 |  71.1 |   277M | 271 |8562 |9634 |7644 |2336 |  1 |  54 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 67.8s|  1200 |   937 |101312 |  74.9 |   279M | 271 |8562 |9635 |7623 |2472 |  2 |  58 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 71.9s|  1300 |  1013 |111398 |  76.9 |   281M | 271 |8562 |9638 |7525 |2553 |  1 |  62 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
 76.2s|  1400 |  1099 |123852 |  80.3 |   284M | 271 |8562 |9639 |7618 |2666 |  1 |  63 |   0 | 2.835584e-01 | 0.000000e+00 |    Inf |  50.00%
