presolving:
(round 1, fast)       1299 del vars, 9250 del conss, 0 add conss, 8312 chg bounds, 0 chg sides, 22 chg coeffs, 0 upgd conss, 185 impls, 0 clqs
(round 2, fast)       2230 del vars, 10622 del conss, 0 add conss, 8610 chg bounds, 3 chg sides, 154 chg coeffs, 0 upgd conss, 190 impls, 0 clqs
(round 3, fast)       2625 del vars, 10863 del conss, 0 add conss, 8673 chg bounds, 22 chg sides, 214 chg coeffs, 0 upgd conss, 190 impls, 0 clqs
(round 4, fast)       2722 del vars, 10894 del conss, 0 add conss, 8698 chg bounds, 23 chg sides, 267 chg coeffs, 0 upgd conss, 190 impls, 0 clqs
(round 5, fast)       2727 del vars, 10894 del conss, 0 add conss, 8706 chg bounds, 54 chg sides, 280 chg coeffs, 0 upgd conss, 190 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.3s) MILP presolver (29 rounds): 2667 aggregations, 605 fixings, 43 bound changes
(round 6, medium)     5999 del vars, 19063 del conss, 3174 add conss, 8749 chg bounds, 58 chg sides, 280 chg coeffs, 0 upgd conss, 190 impls, 0 clqs
(round 7, fast)       6004 del vars, 19067 del conss, 3174 add conss, 8761 chg bounds, 60 chg sides, 304 chg coeffs, 0 upgd conss, 223 impls, 0 clqs
(round 8, exhaustive) 6004 del vars, 19071 del conss, 3174 add conss, 8771 chg bounds, 61 chg sides, 321 chg coeffs, 0 upgd conss, 223 impls, 0 clqs
(round 9, exhaustive) 6004 del vars, 19071 del conss, 3174 add conss, 8771 chg bounds, 61 chg sides, 321 chg coeffs, 1380 upgd conss, 223 impls, 0 clqs
   (0.3s) sparsify finished: 288/15968 (1.8%) nonzeros canceled - in total 288 canceled nonzeros, 309 changed coefficients, 0 added nonzeros
(round 10, exhaustive) 6004 del vars, 19071 del conss, 3174 add conss, 8771 chg bounds, 61 chg sides, 630 chg coeffs, 1380 upgd conss, 1920 impls, 0 clqs
(round 11, fast)       6010 del vars, 19078 del conss, 3174 add conss, 8780 chg bounds, 61 chg sides, 630 chg coeffs, 1380 upgd conss, 1922 impls, 0 clqs
(round 12, fast)       6012 del vars, 19083 del conss, 3174 add conss, 8784 chg bounds, 61 chg sides, 634 chg coeffs, 1380 upgd conss, 1929 impls, 0 clqs
   (0.3s) sparsify finished: 26/15617 (0.2%) nonzeros canceled - in total 314 canceled nonzeros, 352 changed coefficients, 0 added nonzeros
   (0.4s) probing: 1000/1512 (66.1%) - 0 fixings, 0 aggregations, 2925 implications, 0 bound changes
   (0.4s) probing: 1001/1512 (66.2%) - 0 fixings, 0 aggregations, 2925 implications, 0 bound changes
   (0.4s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 926 nonzeros canceled
(round 13, exhaustive) 6012 del vars, 19083 del conss, 3174 add conss, 8784 chg bounds, 61 chg sides, 2190 chg coeffs, 1380 upgd conss, 4854 impls, 0 clqs
(round 14, fast)       6013 del vars, 19104 del conss, 3191 add conss, 8831 chg bounds, 61 chg sides, 2190 chg coeffs, 1380 upgd conss, 4857 impls, 0 clqs
(round 15, fast)       6035 del vars, 19104 del conss, 3191 add conss, 8835 chg bounds, 61 chg sides, 2192 chg coeffs, 1380 upgd conss, 4857 impls, 0 clqs
(round 16, exhaustive) 6035 del vars, 19104 del conss, 3191 add conss, 8835 chg bounds, 61 chg sides, 2196 chg coeffs, 1401 upgd conss, 4857 impls, 0 clqs
   (0.5s) sparsify finished: 4/14651 (0.0%) nonzeros canceled - in total 318 canceled nonzeros, 357 changed coefficients, 0 added nonzeros
   (0.5s) probing: 1101/1512 (72.8%) - 0 fixings, 0 aggregations, 3168 implications, 0 bound changes
   (0.5s) probing aborted: 1000/1000 successive useless probings
   (0.5s) dualsparsify: 66 nonzeros canceled
(round 17, exhaustive) 6037 del vars, 19104 del conss, 3191 add conss, 8835 chg bounds, 61 chg sides, 2280 chg coeffs, 1401 upgd conss, 5134 impls, 0 clqs
   (0.5s) dualsparsify: 12 nonzeros canceled
   (0.5s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.5s) symmetry computation finished: 60 generators found (max: 1500, log10 of symmetry group size: 22.1) (symcode time: 0.01)
(round 18, exhaustive) 6037 del vars, 19106 del conss, 3237 add conss, 8835 chg bounds, 61 chg sides, 2297 chg coeffs, 1401 upgd conss, 5134 impls, 0 clqs
presolving (19 rounds: 19 fast, 9 medium, 8 exhaustive):
 6051 deleted vars, 19118 deleted constraints, 3237 added constraints, 8835 tightened bounds, 0 added holes, 61 changed sides, 2297 changed coefficients
 5134 implications, 0 cliques
presolved problem has 3281 variables (1502 bin, 0 int, 0 impl, 1779 cont) and 3182 constraints
   1372 constraints of type <varbound>
   1768 constraints of type <linear>
     42 constraints of type <orbitope>
Presolving Time: 0.55

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.4s|     1 |     0 |  9876 |     - |    92M |   0 |3281 |3184 |3140 |   0 |  0 |   2 |   0 | 1.031922e+00 |      --      |    Inf | unknown
  4.7s|     1 |     0 | 42243 |     - |    94M |   0 |3281 |3184 |3145 |   5 |  1 |   2 |   0 | 1.031922e+00 |      --      |    Inf | unknown
  4.8s|     1 |     0 | 43172 |     - |    94M |   0 |3281 |3184 |3154 |  14 |  2 |   2 |   0 | 1.031922e+00 |      --      |    Inf | unknown
  4.9s|     1 |     0 | 43328 |     - |    95M |   0 |3281 |3184 |3156 |  16 |  3 |   2 |   0 | 1.031922e+00 |      --      |    Inf | unknown
  4.9s|     1 |     0 | 43363 |     - |    95M |   0 |3281 |3184 |3158 |  18 |  4 |   2 |   0 | 1.031922e+00 |      --      |    Inf | unknown
  5.0s|     1 |     0 | 43400 |     - |    95M |   0 |3281 |3184 |3160 |  20 |  5 |   2 |   0 | 1.031922e+00 |      --      |    Inf | unknown
  7.2s|     1 |     2 | 44719 |     - |    96M |   0 |3281 |3186 |3160 |  20 |  7 |   4 |  72 | 1.031922e+00 |      --      |    Inf | unknown
o33.9s|    27 |    28 |148057 |4030.8 |objpscos|  14 |3281 |3193 |3144 |  23 |  1 |  14 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf | unknown
 42.2s|   100 |    59 |208052 |1664.6 |    98M |  30 |3281 |3172 |3146 |  26 |  2 |  34 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  28.10%
 47.4s|   200 |   120 |249414 |1036.0 |   100M |  44 |3281 |3161 |3148 |  78 |  1 |  52 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  28.17%
 52.9s|   300 |   203 |289939 | 825.0 |   101M |  44 |3281 |3165 |3144 | 111 |  0 |  63 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 60.2s|   400 |   291 |346474 | 759.9 |   101M |  44 |3281 |3172 |3144 | 113 |  1 |  76 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 67.9s|   500 |   367 |404172 | 723.3 |   102M |  44 |3281 |3179 |3155 | 167 |  1 |  84 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 80.5s|   600 |   453 |474312 | 719.6 |   102M |  44 |3281 |3179 |3147 | 234 |  1 |  93 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 84.6s|   700 |   519 |508241 | 665.2 |   103M |  44 |3281 |3183 |3147 | 246 |  0 |  97 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 89.9s|   800 |   569 |556505 | 642.4 |   103M |  51 |3281 |3183 |3149 | 261 |  1 |  97 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 94.3s|   900 |   621 |592111 | 610.5 |   105M |  51 |3281 |3184 |3145 | 293 |  0 | 100 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
 97.4s|  1000 |   693 |614571 | 571.9 |   105M |  61 |3281 |3184 |3161 | 359 |  1 | 100 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  120s|  1100 |   755 |698802 | 596.5 |   106M |  68 |3281 |3184 |3150 | 407 |  1 | 103 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  122s|  1200 |   803 |716955 | 561.9 |   106M |  72 |3281 |3183 |3152 | 427 |  1 | 108 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  126s|  1300 |   885 |740184 | 536.5 |   106M |  81 |3281 |3187 |3158 | 500 |  1 | 112 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  129s|  1400 |   925 |759622 | 512.1 |   106M |  81 |3281 |3186 |3163 | 565 |  1 | 112 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  130s|  1500 |   951 |773653 | 487.3 |   106M |  88 |3281 |3188 |3165 | 614 |  1 | 115 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  132s|  1600 |   965 |784392 | 463.5 |   106M |  99 |3281 |3187 |3168 | 663 |  1 | 116 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  133s|  1700 |   975 |792414 | 440.9 |   106M | 103 |3281 |3187 |3160 | 675 |  1 | 116 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  134s|  1800 |   981 |803481 | 422.6 |   107M | 103 |3281 |3187 |3167 | 704 |  2 | 117 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
  136s|  1900 |   983 |818447 | 408.2 |   107M | 103 |3281 |3187 |3163 | 774 |  0 | 117 |  72 | 1.031922e+00 | 0.000000e+00 |    Inf |  32.73%
