organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,termination_no_good_cuts,objective_value_no_good_cuts,time_no_good_cuts,termination_cb,objective_value_cb,time_cb
Alloascoidea_hylecoeti,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800
Ambrosiozyma_kashinagacola,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.062,1800,TIME_LIMIT,0.062,1800
Ambrosiozyma_monospora,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800
Arthrobotrys_oligospora,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.064,1800,TIME_LIMIT,0.064,1800
Arxula_adeninivorans,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.096,1800,TIME_LIMIT,NaN,1800
Ascoidea_asiatica,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.052,1800,TIME_LIMIT,0.052,1800
Ascoidea_rubescens,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.047,1800,TIME_LIMIT,0.047,1800
Ashbya_aceri,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.024,1800
Aspergillus_nidulans,1800,TIME_LIMIT,NaN,1800,TIME_LIMIT,0.0,1800,TIME_LIMIT,0.0,1800
Babjeviella_inositovora,1800,TIME_LIMIT,NaN,1800,INFEASIBLE,0.07,168,TIME_LIMIT,0.07,1800
