organism,termination_cb_big_m_mis_5,time_cb_big_m_mis_5,termination_cb_big_m_mis_10,time_cb_big_m_mis_10,termination_cb_big_m_mis_20,time_cb_big_m_mis_20,termination_cb_big_m_mis_30,time_cb_big_m_mis_30
e_coli_core,OPTIMAL,5,OPTIMAL,6,OPTIMAL,5,OPTIMAL,5
iAB_RBC_283,OPTIMAL,6,OPTIMAL,5,OPTIMAL,6,OPTIMAL,6
iIS312_Amastigote,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7
iAF692,OPTIMAL,6,OPTIMAL,7,OPTIMAL,12,OPTIMAL,16
iSB619,OPTIMAL,6,OPTIMAL,9,OPTIMAL,8,OPTIMAL,13
iNF517,OPTIMAL,6,OPTIMAL,6,OPTIMAL,6,OPTIMAL,7
iHN637,OPTIMAL,6,OPTIMAL,7,OPTIMAL,9,OPTIMAL,8
iJB785,OPTIMAL,6,OPTIMAL,7,OPTIMAL,8,OPTIMAL,7
iNJ661,OPTIMAL,22,OPTIMAL,23,OPTIMAL,41,OPTIMAL,41
iSynCJ816,ERROR,,ERROR,,ERROR,,ERROR,
iJN746,OPTIMAL,128,OPTIMAL,84,OPTIMAL,192,OPTIMAL,136
iJR904,OPTIMAL,9,OPTIMAL,9,OPTIMAL,78,OPTIMAL,14
iEK1008,OPTIMAL,10,OPTIMAL,9,OPTIMAL,21,OPTIMAL,10
iCN900,OPTIMAL,6,OPTIMAL,9,OPTIMAL,10,OPTIMAL,25
iYO844,OPTIMAL,9,OPTIMAL,8,OPTIMAL,10,OPTIMAL,49
iND750,OPTIMAL,10,OPTIMAL,19,OPTIMAL,15,OPTIMAL,43
iMM904,OPTIMAL,33,OPTIMAL,70,OPTIMAL,146,OPTIMAL,183
iRC1080,ERROR,,OPTIMAL,412,OPTIMAL,290,ERROR,
iAF1260,OPTIMAL,15,OPTIMAL,42,OPTIMAL,89,OPTIMAL,1712
iSDY_1059,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,OPTIMAL,199
STM_v1_0,OPTIMAL,52,TIME_LIMIT,1800,OPTIMAL,934,OPTIMAL,1565
iJO1366,OPTIMAL,30,OPTIMAL,56,TIME_LIMIT,1800,TIME_LIMIT,1800
iSbBS512_1146,ERROR,,ERROR,,ERROR,,ERROR,
iS_1188,OPTIMAL,21,OPTIMAL,43,TIME_LIMIT,1800,TIME_LIMIT,1800
iSFV_1184,TIME_LIMIT,1800,OPTIMAL,60,OPTIMAL,42,TIME_LIMIT,1800
iSF_1195,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,OPTIMAL,1654
iSFxv_1172,TIME_LIMIT,1800,OPTIMAL,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iML1515,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iZ_1308,OPTIMAL,69,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iAPECO1_1312,OPTIMAL,97,OPTIMAL,1559,TIME_LIMIT,1800,TIME_LIMIT,1800
iECB_1328,OPTIMAL,68,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iETEC_1333,OPTIMAL,35,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iYS1720,OPTIMAL,203,OPTIMAL,1155,TIME_LIMIT,1800,TIME_LIMIT,1800
iMM1415,OPTIMAL,1769,OPTIMAL,1380,TIME_LIMIT,1800,TIME_LIMIT,1800
RECON1,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
iLB1027_lipid,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
Recon3D,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800,TIME_LIMIT,1800
